step,target,value,query_samples,observed_total_loss,broad_total_loss,observed_nonroot_loss,broad_nonroot_loss,feasible_nonroot_loss
0,X1,-5.0,50,7.066290365532041,30.567226227372885,1.6118168700486422,29.476331528276205,1.9183509356031816
1,X2,-4.0,100,6.401650531217456,27.301362663879992,0.9483704399317503,26.21070664562285,1.1896041462896392
2,X3,-3.0,150,6.154221566393971,26.44287308193743,0.6977706272155046,25.35158289410174,0.8789599840141211
3,X4,-2.0,240,6.062919855117798,27.72408481054008,0.6058336496353149,26.632667569443583,0.6531544025056063
4,X5,-1.0,290,6.055439610034227,27.1396717235446,0.5977689810097218,26.048137597739697,0.6389391601939375
5,X6,0.0,340,6.049748575314879,27.92545596435666,0.5928498264402151,26.834076214581728,0.6430599376326427
6,X7,1.0,430,6.047872802242637,27.430689460411667,0.5861793365329504,26.33835076726973,0.6694126328220592
7,X8,2.0,480,6.043835027143359,25.548743840679528,0.5848099421709776,24.45693882368505,0.65908536031687
8,X9,3.0,530,6.042305359616876,22.697033405676486,0.5872010681778193,21.606012547388673,0.6536820357432589
9,X10,4.0,620,6.037847233936191,21.742152083665133,0.5811784993857145,20.650818336755037,0.6638464782154188
10,X11,5.0,670,6.037643946707249,22.383808838948607,0.5805686488747597,21.29239377938211,0.6908830012350032
11,X12,-5.0,720,6.065187508240342,18.430694767460228,0.6079174224287271,17.339240750297904,0.7365612340702986
12,X13,-4.0,810,6.037726081907749,18.123797483742237,0.5817705169320107,17.03260637074709,0.7151548565210153
13,X14,-3.0,860,6.034865850582719,17.74607121013105,0.5796419326215982,16.655026426538825,0.6905974023587381
14,X16,-2.0,910,6.029946219176054,15.734849089756608,0.5774292461574078,14.644345695152879,0.6473674250689025
15,X17,-1.0,1000,6.028823107481003,14.399429573491215,0.5751998126506805,13.308704914525151,0.667837432352826
16,X18,0.0,1050,6.0284493789076805,14.258152427896857,0.5745405778288841,13.167370667681098,0.6762938711714621
17,X19,1.0,1100,6.029670216143131,14.314791971445084,0.5744128003716469,13.223740488290787,0.7013526307418941
18,X20,2.0,1190,6.029093969613314,14.602782460674643,0.5737218745052814,13.511708041653037,0.7392609836921716
19,X23,3.0,1240,6.0288627948611975,15.322846623510122,0.5729115214198828,14.23165636882186,0.7505135505537813
20,X24,4.0,1290,6.026004021987319,15.690427843853831,0.5727194603532553,14.599770931527019,0.7466770163349187
21,X25,5.0,1380,6.025176355615258,15.896797854453325,0.5727511737495661,14.806312818080187,0.638688855455257
22,X1,-2.0,1430,6.023391222581267,16.237185032665728,0.5726408120244741,15.14703495055437,0.6838146007697409
23,X2,-1.0,1480,6.02237194404006,16.512681586295365,0.5724396072328091,15.422695118933916,0.7140856058492016
24,X3,0.0,1570,6.021654915064573,17.148881409317255,0.5724501721560955,16.05904046073556,0.7643035819831614
25,X4,1.0,1620,6.022060994058847,16.89710847772658,0.572358313947916,15.807167941704392,0.7891801530107234
26,X5,2.0,1670,6.021886734291911,16.62514084391296,0.5722900908440351,15.535221515223384,0.821894460900997
27,X6,3.0,1760,6.02124735340476,16.609416104108096,0.5722682736814022,15.519620288163424,0.8998001692040513
28,X7,4.0,1810,6.021030390635133,15.655392535030842,0.572152579203248,14.565616972744465,0.9392177902239685
29,X8,5.0,1860,6.01937616430223,15.661703156679868,0.5708820279687643,14.572004329413176,0.9743518639200678
30,X9,-5.0,1950,6.020353332161903,15.406128779426217,0.5717197209596634,14.316402057185769,1.065376339441476
31,X10,-4.0,2000,6.019632885232568,15.580367266014218,0.5714655015617609,14.490733789280057,1.1128357787771772
