track,seed,method,budget,nodes,changed,rounds,mse,changed_mse,unchanged_mse
transfer,42,scratch_uniform,128,30,3,1,0.42932218960844437,1.0352081061315141,0.3620015322169921
transfer,42,scratch_uniform,160,30,3,5,0.34772312646299763,1.0352081061315141,0.27133590649982925
transfer,42,scratch_uniform,200,30,3,10,0.3115772141085753,1.0352081061315141,0.23117378166158215
transfer,42,scratch_uniform,280,30,3,20,0.1900109742000239,0.756781481107046,0.12703647343257699
transfer,42,scratch_uniform,400,30,3,35,0.025436174443513048,0.04703163384144134,0.02303667895485435
transfer,42,warm_uniform,128,30,3,1,0.11275393218223544,0.8231564996824661,0.0338203135710987
transfer,42,warm_uniform,160,30,3,5,0.11229929957046277,0.8231564996824661,0.03331516622468461
transfer,42,warm_uniform,200,30,3,10,0.11173771914574758,0.8231564996824661,0.032691187975001076
transfer,42,warm_uniform,280,30,3,20,0.0630252813080097,0.4108461946737654,0.02437851315625908
transfer,42,warm_uniform,400,30,3,35,0.012020354232943372,0.019360278137661755,0.011204807132419104
transfer,42,warm_residual,128,30,3,1,0.10576234872223868,0.7525247270685625,0.033899862239313815
transfer,42,warm_residual,160,30,3,5,0.029722051399220885,0.04600072110398091,0.027913310320914216
transfer,42,warm_residual,200,30,3,10,0.025419007318044504,0.04600072110398091,0.023132150230718237
transfer,42,warm_residual,280,30,3,20,0.0168561294225376,0.04600072110398091,0.01361784145793279
transfer,42,warm_residual,400,30,3,35,0.014719113069483595,0.030131550035845254,0.013006620073221186
transfer,42,module_residual,128,30,3,1,0.10687739475373864,0.7636751873835622,0.033899862239313815
transfer,42,module_residual,160,30,3,5,0.028909986246783894,0.019210713119149302,0.029987683260965518
transfer,42,module_residual,200,30,3,10,0.021454754013473656,0.012502192080689744,0.02244948311711632
transfer,42,module_residual,280,30,3,20,0.015099029301231064,0.011318087468077742,0.015519133949359212
transfer,42,module_residual,400,30,3,35,0.01155508566681746,0.011318087468077742,0.011581418800010759
