track,seed,method,budget,requested_budget,actuator_penalty,background_sd,actions,mse,interaction_error,posterior_risk
design,42,random_single,8,400,1,0.0,1,1.7100676803361772,0.81,3.112047952394583
design,42,random_single,40,400,1,0.0,5,1.4400634612330279,0.81,1.7785587898157458
design,42,random_single,80,400,1,0.0,10,1.4400729738168045,0.81,1.7781683432778865
design,42,random_single,160,400,1,0.0,20,1.4402942770768763,0.81,1.7779671581323686
design,42,random_single,400,400,1,0.0,50,1.4401516363412086,0.81,1.777852775668462
design,42,design_single,8,400,1,0.0,1,1.5610711367586216,0.81,3.112047952394583
design,42,design_single,40,400,1,0.0,5,1.4401927544102424,0.81,1.7785587898157458
design,42,design_single,80,400,1,0.0,10,1.4403077656867667,0.81,1.7781527250508173
design,42,design_single,160,400,1,0.0,20,1.4401620130954496,0.81,1.7779652645951107
design,42,design_single,400,400,1,0.0,50,1.4400722562907293,0.81,1.777852775668462
design,42,random_joint,8,400,1,0.0,1,1.5608461576675157,0.81,3.112047952394583
design,42,random_joint,64,400,1,0.0,5,0.0005633024177090025,4.514211026230629e-06,0.0007230411100186011
design,42,random_joint,120,400,1,0.0,10,0.00017021097204945507,8.611150505129417e-09,0.00041546669018172587
design,42,random_joint,240,400,1,0.0,20,0.00032948729901454506,2.0053362819948425e-05,0.00019674815896661896
design,42,random_joint,400,400,1,0.0,35,0.00024479549936219555,1.6693730691556707e-05,0.00012774936830309419
design,42,design_joint,8,400,1,0.0,1,1.5613341295567966,0.81,3.112047952394583
design,42,design_joint,56,400,1,0.0,5,0.0008350901124132168,0.00021707361017687084,0.0009762090371119121
design,42,design_joint,128,400,1,0.0,10,0.0004841989405147939,7.76244244796741e-06,0.00030182142565210863
design,42,design_joint,288,400,1,0.0,20,0.00016760245070921012,1.1047672482057754e-06,0.00012369363324082566
design,42,design_joint,400,400,1,0.0,27,0.0001727653851983657,2.1589205270085554e-07,8.889636645523707e-05
