episode,step,target,value,total_loss,loss_X1,loss_X2,loss_X3,loss_X4,loss_X5
0,0,X3,2.0300324245810817,12.769190698862076,1.055477261543274,3.7380642890930176,3.0513577461242676,4.613481521606445,0.3108098804950714
0,1,X4,0.5604256817960097,7.686943143606186,1.0519804954528809,1.4330049753189087,0.8073430061340332,4.2448344230651855,0.1497802436351776
0,2,X1,-3.4066146827704533,6.253325246274471,1.052064299583435,0.49748697876930237,0.7234769463539124,3.905984878540039,0.07431214302778244
0,3,X1,-1.967341484768027,4.956848096102476,1.0576804876327515,0.016737861558794975,0.5336698293685913,3.3201756477355957,0.028584269806742668
0,4,X5,3.3949239818569774,4.626742722466588,1.0539857149124146,0.013642778620123863,0.4766654074192047,3.0600717067718506,0.02237711474299431
0,5,X3,0.48277835011484704,4.321614486165345,1.0530415773391724,0.013266698457300663,0.4157717823982239,2.8207147121429443,0.018819715827703476
0,6,X3,1.581664661137016,3.768889340572059,1.0509096384048462,0.012718644924461842,0.28473544120788574,2.405912399291992,0.014613216742873192
0,7,X1,0.11810938682237673,3.548710798844695,1.0509129762649536,0.012568251229822636,0.24376435577869415,2.22799015045166,0.013475065119564533
0,8,X5,4.025658163067471,3.3515470223501325,1.0514572858810425,0.01239299401640892,0.20840121805667877,2.0664851665496826,0.012810357846319675
0,9,X5,1.448923651668763,3.0274557089433074,1.0509209632873535,0.012116843834519386,0.16344775259494781,1.788867712020874,0.01210243720561266
0,10,X1,2.559415966979648,2.892418920993805,1.0509238243103027,0.012055320665240288,0.14667800068855286,1.670822262763977,0.011939512565732002
0,11,X3,1.5976934123187756,2.773425307124853,1.051114797592163,0.011998805217444897,0.13413496315479279,1.56434965133667,0.011827089823782444
0,12,X1,-0.4264128808679486,2.5707948561757803,1.0512468814849854,0.011934980750083923,0.11036577075719833,1.3855704069137573,0.011676816269755363
0,13,X4,0.5124549625245922,2.485452904365957,1.0515294075012207,0.011885480023920536,0.0994134396314621,1.3109594583511353,0.011665118858218193
0,14,X4,1.454148817400651,2.4085635747760534,1.0513484477996826,0.011839590035378933,0.08866667002439499,1.245041012763977,0.011667854152619839
0,15,X5,2.9823690032439054,2.2802132461220026,1.0514589548110962,0.011742581613361835,0.06959718465805054,1.1358109712600708,0.011603553779423237
0,16,X5,3.9081418814922224,2.2274078112095594,1.0517390966415405,0.01172475703060627,0.061778850853443146,1.0905892848968506,0.011575821787118912
0,17,X1,-2.8792560528196103,2.1823461707681417,1.0517624616622925,0.011751646175980568,0.055811308324337006,1.051448106765747,0.011572647839784622
0,18,X2,2.941113021559477,2.114134551025927,1.0513432025909424,0.011710872873663902,0.051312386989593506,0.9882560968399048,0.01151199173182249
0,19,X4,-4.407173341591908,2.0869784969836473,1.0513628721237183,0.011692908592522144,0.048194520175457,0.9632443189620972,0.012483877129852772
0,20,X3,2.585351099142689,2.0607495065778494,1.0511778593063354,0.01167734432965517,0.04339804872870445,0.9422281980514526,0.01226805616170168
0,21,X1,-3.961236218823037,2.0241930102929473,1.051038384437561,0.011857651174068451,0.03914395719766617,0.9101848602294922,0.01196815725415945
0,22,X2,0.9726612527998967,2.011780126951635,1.051177740097046,0.01180512085556984,0.0387306772172451,0.8981727361679077,0.01189385261386633
0,23,X5,1.9620393611884075,2.001274445094168,1.0512292385101318,0.011745570227503777,0.03805805370211601,0.8883988857269287,0.01184269692748785
0,24,X1,-3.54349138750203,1.9858766812831163,1.0521482229232788,0.01172368973493576,0.03646522015333176,0.8737646341323853,0.011774914339184761
1,0,X4,-1.1184078351178774,10.095550894737244,1.0575013160705566,2.1512022018432617,0.8112102746963501,5.009584426879883,1.0660526752471924
1,1,X4,0.4451295958200121,9.04104745388031,1.0575469732284546,0.790212094783783,0.5993369221687317,5.009584426879883,1.584367036819458
1,2,X1,-0.3981585408152309,6.70177486538887,1.0565125942230225,0.33317995071411133,0.4658548831939697,4.613638877868652,0.23258855938911438
