episode,step,total_loss,loss_n_b38b,loss_n_cc2d,loss_n_e534,loss_n_027a,loss_n_1731,loss_n_194f,loss_n_3f8b,loss_n_4d02,loss_n_5324,loss_n_5777,loss_n_709b,loss_n_79a9,loss_n_7b44,loss_n_82a1,loss_n_8471,loss_n_8af1,loss_n_8f04,loss_n_a705,loss_n_b537,loss_n_b9cc,loss_n_bb46,loss_n_c7b1,loss_n_cbaf,loss_n_ea9d,loss_n_f05f,loss_n_f1a7,loss_n_fe54,loss_n_ff55
0,0,48.490150606632234,1.0352318286895752,0.9817642569541931,1.0370131731033325,1.3608527183532715,3.021411895751953,2.225724220275879,2.5164427757263184,1.191578984260559,1.639339804649353,2.096372127532959,4.951934337615967,0.952094554901123,1.3327170610427856,1.6646554470062256,0.6017031669616699,1.384692668914795,2.366881847381592,1.9185564517974854,0.7122122049331665,1.1072077751159668,1.625010371208191,0.49341094493865967,2.008284568786621,4.25905179977417,1.619284749031067,2.8764374256134033,2.329435348510742,1.6240555047988892
0,1,9.977518683299422,1.0413963794708252,0.9886662364006042,1.0433021783828735,0.02447628229856491,0.6102020740509033,0.03572308272123337,0.0283814650028944,0.08858834207057953,0.027622373774647713,0.8010140657424927,1.8739315271377563,0.08430691808462143,0.03229750692844391,0.7446816563606262,0.09826089441776276,0.5081809163093567,0.18765439093112946,0.041550539433956146,0.3888997733592987,0.9102476835250854,0.13471032679080963,0.09443586319684982,0.024076173081994057,0.30623987317085266,1.4659245014190674,0.08168357610702515,0.025794286280870438,0.7439616322517395
0,2,6.656530971080064,1.0393997430801392,0.9817506074905396,1.0631860494613647,0.02628994919359684,1.1853777170181274,0.02462109550833702,0.03349404036998749,0.06823757290840149,0.030558910220861435,0.18334893882274628,1.1969969272613525,0.03449414670467377,0.06195312365889549,0.7547703385353088,0.08502505719661713,0.400435209274292,0.04262954741716385,0.10035986453294754,0.38732510805130005,0.04643331468105316,0.09491221606731415,0.0634455680847168,0.023553308099508286,0.3517814576625824,0.023874523118138313,0.03909161686897278,0.03499317914247513,0.7456609606742859
0,3,5.257993490621447,1.0415775775909424,0.9826713800430298,1.0636318922042847,0.02139347791671753,1.5190739631652832,0.024145780131220818,0.03568696603178978,0.023586807772517204,0.027029680088162422,0.050679199397563934,0.04523593559861183,0.023718027397990227,0.10525068640708923,0.028837358579039574,0.030749117955565453,0.4378902018070221,0.02620428241789341,0.14659737050533295,1.0063058137893677,0.027237212285399437,0.07372437417507172,0.10961927473545074,0.022640381008386612,0.13729433715343475,0.02922631986439228,0.06073895841836929,0.03447866439819336,0.5930731296539307
0,4,3.884393261000514,1.038329839706421,0.982806384563446,1.0459339618682861,0.022140098735690117,0.5322219133377075,0.023286104202270508,0.03378138318657875,0.024537203833460808,0.029073791578412056,0.09901373833417892,0.0463060587644577,0.03666583076119423,0.2664039134979248,0.03122282586991787,0.03495723381638527,0.31281206011772156,0.031338974833488464,0.0392729826271534,0.3380511403083801,0.09093963354825974,0.22483350336551666,0.1220354288816452,0.02292506955564022,0.10853422433137894,0.025882873684167862,0.08121035993099213,0.03404008597135544,0.6594927906990051
0,5,3.8959501523524525,1.0373362302780151,0.9835422039031982,1.045591950416565,0.02146223746240139,0.5175737142562866,0.025721605867147446,0.036355867981910706,0.021170372143387794,0.02693944051861763,0.16233205795288086,0.03397277742624283,0.0310063473880291,0.44809600710868835,0.0320238433778286,0.03917531669139862,0.3846829831600189,0.02954999729990959,0.03411098197102547,0.5700356364250183,0.07146048545837402,0.21786706149578094,0.16185037791728973,0.02166156657040119,0.12390507012605667,0.02587645687162876,0.059151604771614075,0.030960721895098686,0.1557135432958603
0,6,3.3132311802357437,1.0368115901947021,0.9842185378074646,1.042779803276062,0.023463739082217216,0.5226935744285583,0.020881110802292824,0.035339366644620895,0.023169443011283875,0.030155833810567856,0.2999887764453888,0.0525369793176651,0.03219536691904068,0.15333181619644165,0.04271816462278366,0.04336637631058693,0.487068235874176,0.028919661417603493,0.03917874023318291,0.025291122496128082,0.06584089994430542,0.2618160843849182,0.1076827123761177,0.02184564806520939,0.15747499465942383,0.021881146356463432,0.04797425866127014,0.03469788655638695,0.12095725536346436
0,7,3.1701255694031714,1.0363075733184814,0.984262228012085,1.037583827972412,0.021843938156962395,0.050674859434366226,0.02257489040493965,0.029794229194521904,0.02362731099128723,0.02507067285478115,0.41597142815589905,0.0699986144900322,0.03537902235984802,0.20779724419116974,0.04654417559504509,0.0444377139210701,0.6866250038146973,0.027106286957859993,0.03772025182843208,0.02374565787613392,0.06795544922351837,0.36612722277641296,0.05361289903521538,0.021954622119665146,0.13735464215278625,0.025470616295933723,0.04458616301417351,0.034909237176179886,0.03761269152164459
0,8,2.6866389229893683,1.035823941230774,0.9844738245010376,1.03726327419281,0.020417382940649986,0.09311730414628983,0.02383917197585106,0.032356202602386475,0.022855140268802643,0.021942634135484695,0.6546609401702881,0.07994356006383896,0.036352530121803284,0.18649375438690186,0.05291192606091499,0.03670431673526764,0.18420928716659546,0.029019685462117195,0.037073031067848206,0.020521225407719612,0.04938573017716408,0.1258736550807953,0.05699343979358673,0.02086740918457508,0.15484575927257538,0.021810244768857956,0.043426625430583954,0.030735649168491364,0.03877010941505432
0,9,2.037150425463915,1.0355772972106934,0.9839950799942017,1.0339397192001343,0.026773300021886826,0.08046339452266693,0.019197192043066025,0.02607419528067112,0.024755416437983513,0.024427855387330055,0.05328751727938652,0.04477103427052498,0.03167165815830231,0.2578805088996887,0.04547012969851494,0.039740823209285736,0.16507913172245026,0.029445651918649673,0.038390323519706726,0.02419116720557213,0.05508613586425781,0.11457151919603348,0.05294371768832207,0.022277824580669403,0.1030319407582283,0.024434195831418037,0.04752248898148537,0.03324751928448677,0.04171336442232132
