episode,episode_final_loss
0,2.039323264732957
1,2.008634858764708
2,2.04797394759953
3,2.0294971335679293
4,2.0078602991998196
5,2.0561417331919074
6,2.106957527808845
7,2.0827692691236734
8,2.098166223615408
9,2.1118541471660137
10,2.0805999925360084
11,2.1121077574789524
12,2.0703192055225372
13,2.0175640964880586
14,2.0843656305223703
15,2.050588820129633
16,2.084556180983782
17,2.0297788651660085
18,2.0296161277219653
19,2.0856918171048164
20,1.9937953110784292
21,2.137942929752171
22,2.0993485134094954
23,2.0067094322293997
24,2.0278314827010036
25,2.0514723556116223
26,2.0840102350339293
27,2.0519187627360225
28,2.153577913530171
29,2.033588645979762
30,2.0894239423796535
31,2.018646593205631
32,2.0415055388584733
33,2.0217497888952494
34,2.0098468083888292
35,2.107492031529546
36,2.035156021825969
37,2.0119934240356088
38,2.103082414716482
39,2.083168501034379
40,2.0988725582137704
41,2.045646207407117
42,2.0778733333572745
43,2.1588766807690263
44,2.0441110832616687
45,2.0204669227823615
46,2.0555893033742905
47,2.0213864417746663
48,2.16949565615505
49,2.030175714753568
50,2.0571202700957656
51,2.083059308119118
52,2.129822007380426
53,2.024133652448654
54,2.145796053111553
55,2.0736930267885327
56,2.096436300314963
57,2.1271759755909443
58,2.091809056699276
59,2.0728522818535566
60,2.1773886242881417
61,2.1343988804146647
62,2.0478411922231317
63,2.06152986548841
64,2.162236152216792
65,2.1289469450712204
66,2.0153036592528224
67,2.099223447032273
68,2.1134722968563437
69,2.0388369765132666
70,2.007986230775714
71,2.030337307602167
72,2.034154996275902
73,2.026830669492483
74,2.016974744386971
75,2.1290714759379625
76,2.046520379371941
77,2.112721466459334
78,2.0225295117124915
79,2.109360263682902
80,2.093097343109548
81,2.0956061091274023
82,2.1184390923008323
83,2.115376804023981
84,2.044789503328502
85,2.044392484240234
86,2.140230145305395
87,2.019437617622316
88,2.0769257871434093
89,2.0097652934491634
90,2.044075833633542
91,2.135692329145968
92,2.096400340087712
93,2.0293911788612604
94,2.0740888323634863
95,2.088251829147339
96,2.171555044129491
97,2.049871399998665
98,2.026820504106581
99,2.024971312843263
100,2.017722207121551
101,2.21098215226084
102,2.0926038110628724
103,2.0045555271208286
104,2.0999695966020226
105,2.094875030219555
106,2.0150283938273787
107,2.05765547323972
108,2.0532090654596686
109,2.036545842885971
110,2.0305330399423838
111,2.1199744567275047
112,2.0594929298385978
113,2.03856551554054
114,2.1119973454624414
115,2.005287037231028
116,2.023637356236577
117,2.059609394520521
118,2.0360044622793794
119,2.114642357453704
120,2.0409228038042784
121,2.0569368936121464
122,2.031624953262508
123,2.0585652869194746
124,2.098413333296776
125,2.1465712059289217
126,2.050254661589861
127,2.089640600606799
128,2.0711125237867236
129,2.06611913908273
130,2.0773720974102616
131,2.1360927633941174
132,2.0290382178500295
133,2.16915369220078
134,2.0623254366219044
135,2.036147750914097
136,2.0763097777962685
137,2.1029944326728582
138,2.022681599482894
139,2.0795388128608465
140,2.1502573788166046
141,2.0235603470355272
142,2.047147120349109
143,2.010813127271831
144,2.0850298004224896
145,2.209432621486485
146,2.0408379463478923
147,2.0230653444305062
148,2.0520375557243824
149,2.0438708709552884
150,2.0608851900324225
151,2.0395510429516435
152,2.1902379915118217
153,2.061016391031444
154,2.04465295933187
155,2.01043679472059
156,2.0266782380640507
157,2.077683847397566
158,2.0335231767967343
159,2.0603970186784863
160,2.0598003854975104
161,2.2572679445147514
162,2.1171335326507688
163,2.011398389004171
164,2.0241496935486794
165,2.12322433385998
166,2.070246777497232
167,2.079018196091056
168,2.057080389931798
169,2.0797140980139375
170,2.1482741497457027
