seed,changed,change_type,method,target_budget,source_samples,mse,changed_mse,unchanged_mse,old_selection_mass
3011,3,family,scratch,120,2560,0.4390317051729841,0.6410406011991444,0.4165862722811885,
3011,3,family,warm,120,2560,0.049552387920258366,0.13997122828688915,0.03950585010174384,
3011,3,family,source_retrieval,120,2560,0.04107428315708361,0.04427087697199148,0.04071910606653829,0.7666666666666667
3011,3,family,source_mixture,120,2560,0.040569941084041786,0.04427087697199126,0.040158725985380735,0.792155025073807
3011,3,family,scratch,200,2560,0.19451107977668528,0.12293650153168645,0.20246381069279626,
3011,3,family,warm,200,2560,0.032765270709863084,0.04428221479914753,0.03148561025549815,
3011,3,family,source_retrieval,200,2560,0.0354434331922974,0.054925671547348176,0.033278740041736206,0.7666666666666667
3011,3,family,source_mixture,200,2560,0.03456397743978854,0.05492567154734774,0.03230156698339307,0.792155025073807
3011,3,family,scratch,400,2560,0.028437497357887757,0.035275947299198335,0.02767766958663103,
3011,3,family,warm,400,2560,0.01379234934523077,0.030665630890525014,0.011917540284642517,
3011,3,family,source_retrieval,400,2560,0.013769616921076883,0.029742056622247038,0.011994901398724644,0.7666666666666667
3011,3,family,source_mixture,400,2560,0.013685141628426881,0.029742056622246993,0.01190103996244687,0.792155025073807
