episode,step,target,value,total_loss,loss_X1,loss_X2,loss_X3,loss_X4,loss_X5,loss_X6,loss_X7,loss_X8,loss_X9,loss_X10,loss_X11,loss_X12,loss_X13,loss_X14,loss_X15,loss_X16,loss_X17,loss_X18,loss_X19,loss_X20,loss_X21,loss_X22,loss_X23,loss_X24,loss_X25,loss_X26,loss_X27,loss_X28,loss_X29,loss_X30,env_queries_executed,env_queries_candidate_probe,env_queries_observational,env_queries_total
0,0,X24,-1.2014287024172554,7.757877487689257,0.9776690006256104,1.0444729328155518,1.1262260675430298,1.0443230867385864,0.9077114462852478,0.25114554166793823,0.029214689508080482,0.19723768532276154,0.1800566166639328,0.08880021423101425,0.050074271857738495,0.04305785149335861,0.05499155819416046,0.024838555604219437,0.06461527198553085,0.09087645262479782,0.031003780663013458,0.5804522633552551,0.16216927766799927,0.04738292470574379,0.053609397262334824,0.15129134058952332,0.1494409292936325,0.08720146119594574,0.05043581500649452,0.08983282744884491,0.029090071097016335,0.0351252555847168,0.08111315965652466,0.03441774100065231,187500,5625000,240000,6052500
0,1,X14,3.2229812122206027,6.370118726044893,0.9741693735122681,1.0543650388717651,1.132897973060608,1.081160545349121,0.9053546190261841,0.07447933405637741,0.036341309547424316,0.052255138754844666,0.08650562912225723,0.030357230454683304,0.04373519495129585,0.040625642985105515,0.028966108337044716,0.031734783202409744,0.029333459213376045,0.03659946098923683,0.026231840252876282,0.17670391499996185,0.03455998748540878,0.02879689261317253,0.04798822104930878,0.06987705826759338,0.07450135052204132,0.08299443125724792,0.038411643356084824,0.030034463852643967,0.026412000879645348,0.0322355255484581,0.03255527839064598,0.02993527613580227,187500,5625000,240000,6052500
0,2,X25,-3.6915057527360062,6.082807596772909,0.9707140326499939,1.0480002164840698,1.1542699337005615,1.0538856983184814,0.8977154493331909,0.036185670644044876,0.051898300647735596,0.04931497573852539,0.10136355459690094,0.027684081345796585,0.05157463252544403,0.04297372326254845,0.02368410862982273,0.027645263820886612,0.02984542027115822,0.028610477223992348,0.024971075356006622,0.049466270953416824,0.0253301914781332,0.031048394739627838,0.05622171238064766,0.03878096118569374,0.051489729434251785,0.03662285581231117,0.038252219557762146,0.024774597957730293,0.025731096044182777,0.03045734204351902,0.026804201304912567,0.027491409331560135,187500,5625000,240000,6052500
0,3,X9,0.29701738720701165,5.968607673421502,0.9706348776817322,1.0351552963256836,1.1486555337905884,1.0581867694854736,0.8912084698677063,0.035124532878398895,0.03857303410768509,0.048277925699949265,0.12820838391780853,0.024999888613820076,0.03559209406375885,0.03564627468585968,0.024127598851919174,0.02544659934937954,0.029503624886274338,0.02864186279475689,0.02467174455523491,0.04248642548918724,0.02416136860847473,0.026632126420736313,0.04740918055176735,0.034070368856191635,0.031604304909706116,0.03305232897400856,0.026425646618008614,0.02126525342464447,0.028174910694360733,0.023542456328868866,0.020732633769512177,0.02639615722000599,187500,5625000,240000,6052500
0,4,X14,-1.8384275192659971,5.942436963319778,0.9706640839576721,1.0355383157730103,1.1502199172973633,1.0612140893936157,0.8923489451408386,0.040633950382471085,0.037521425634622574,0.048251114785671234,0.113347128033638,0.022635316476225853,0.03599153459072113,0.03631318733096123,0.02361144684255123,0.025542156770825386,0.028282808139920235,0.0273771733045578,0.025442402809858322,0.03885283321142197,0.023842666298151016,0.025323018431663513,0.04056515917181969,0.02954297885298729,0.02866986207664013,0.03386511281132698,0.02672656625509262,0.021384665742516518,0.028314128518104553,0.023458536714315414,0.02042597532272339,0.026530463248491287,187500,5625000,240000,6052500
0,5,X15,-0.18459582326281065,5.919998649507761,0.9711952805519104,1.0356518030166626,1.1513440608978271,1.0539262294769287,0.8915130496025085,0.03913556784391403,0.04298095032572746,0.05159702152013779,0.09650376439094543,0.022476881742477417,0.03462228551506996,0.03763255476951599,0.02306787110865116,0.024671297520399094,0.028144044801592827,0.025235820561647415,0.025595463812351227,0.04033602029085159,0.024843795225024223,0.024335524067282677,0.03851672634482384,0.030439110472798347,0.02829568088054657,0.03092263452708721,0.02619166485965252,0.021534904837608337,0.028747357428073883,0.023553986102342606,0.020326366648077965,0.02666093036532402,187500,5625000,240000,6052500
0,6,X4,1.2019031154345283,5.938952999189496,0.972152590751648,1.0355515480041504,1.1510108709335327,1.0499049425125122,0.8913686275482178,0.04392656683921814,0.06650081276893616,0.0732797160744667,0.06857413053512573,0.02403116412460804,0.030396325513720512,0.03569774702191353,0.023073362186551094,0.024350035935640335,0.025693628937005997,0.027879897505044937,0.028993701562285423,0.03900576010346413,0.026929546147584915,0.025276657193899155,0.045289650559425354,0.031063590198755264,0.024140091612935066,0.02732580527663231,0.028839288279414177,0.02173089236021042,0.02525271661579609,0.023229412734508514,0.020275555551052094,0.02820836380124092,187500,5625000,240000,6052500
0,7,X24,0.05241046634206725,5.934752594679594,0.9724535942077637,1.0354474782943726,1.1454029083251953,1.04840087890625,0.8914627432823181,0.043980419635772705,0.0696432814002037,0.07528126239776611,0.06981765478849411,0.023581068962812424,0.02947768196463585,0.0357961468398571,0.023083839565515518,0.024442441761493683,0.02520768530666828,0.02747160568833351,0.02907741256058216,0.04143251106142998,0.02670767903327942,0.024902397766709328,0.04097210615873337,0.03127210587263107,0.023965870961546898,0.027292925864458084,0.029518093913793564,0.02180844359099865,0.025692777708172798,0.023189468309283257,0.020210454240441322,0.027759656310081482,187500,5625000,240000,6052500
0,8,X29,-0.6926138124444119,5.932257978245616,0.9725738763809204,1.0355157852172852,1.148351788520813,1.0438499450683594,0.8914641737937927,0.04572400823235512,0.0659870132803917,0.07166662067174911,0.07390264421701431,0.02376590296626091,0.029501067474484444,0.035350847989320755,0.023197881877422333,0.024436498060822487,0.024886688217520714,0.02763289585709572,0.02800408937036991,0.04112866893410683,0.028377648442983627,0.025393670424818993,0.04103782773017883,0.032308075577020645,0.024293746799230576,0.026444051414728165,0.028799816966056824,0.02183558978140354,0.0259313452988863,0.02322843112051487,0.020179973915219307,0.02748740464448929,187500,5625000,240000,6052500
0,9,X4,-0.10484620005582901,5.931284913793206,0.9713360667228699,1.0361907482147217,1.144228219985962,1.0447263717651367,0.8915456533432007,0.04294707253575325,0.08017663657665253,0.057830192148685455,0.062086768448352814,0.02259492687880993,0.03391144424676895,0.0474923700094223,0.02305121347308159,0.025544485077261925,0.02438545599579811,0.02357238158583641,0.02737640216946602,0.03684472665190697,0.031001050025224686,0.02508566342294216,0.04896864295005798,0.034402888268232346,0.02416505664587021,0.024845220148563385,0.02794020064175129,0.022150738164782524,0.025944029912352562,0.0237237848341465,0.01994243636727333,0.02727406658232212,187500,5625000,240000,6052500
