episode,step,target,value,total_loss,loss_X1,loss_X2,loss_X3,loss_X4,loss_X5,ace_total_loss,ace_loss_X1,ace_loss_X4,ace_loss_X2,ace_loss_X3,ace_loss_X5,env_queries_executed,env_queries_candidate_probe,env_queries_observational,env_queries_total
0,0,X1,-5.0,16.417068613693118,0.946787416934967,7.125770568847656,4.189645290374756,4.128822326660156,0.026043010875582695,25.75937522649765,0.946787416934967,4.128822326660156,18.70208168029785,5.221828460693359,0.8203431367874146,50000,0,64000,114000
0,1,X2,0.9006016850471497,14.813338783569634,0.9738917350769043,7.114661693572998,3.223369598388672,3.4885740280151367,0.012841728515923023,21.276122176647185,0.9738917350769043,3.4885740280151367,17.62403678894043,2.3101894855499268,0.44940274953842163,50000,0,64000,114000
0,2,X4,-4.887019157409668,4.036579677835107,0.9883856177330017,0.01672196201980114,0.06703255325555801,2.9514222145080566,0.013017330318689346,1.9343472808599471,0.9883856177330017,2.9514222145080566,0.1298825889825821,0.5800685882568359,0.4364345371723175,50000,0,64000,114000
0,3,X2,-5.0,3.17125909589231,0.9621684551239014,0.011344539932906628,0.04965614154934883,2.1371653079986572,0.01092465128749609,1.7601329624652862,0.9621684551239014,2.1371653079986572,0.016739696264266968,0.7972095012664795,0.3263170123100281,50000,0,64000,114000
0,4,X1,4.906999111175537,2.9153904039412737,0.9613369107246399,0.011265899986028671,0.09076081961393356,1.841204047203064,0.010822726413607597,1.8118982519954443,0.9613369107246399,1.841204047203064,0.012137731537222862,0.944463849067688,0.2947884798049927,50000,0,64000,114000
0,5,X2,4.505395412445068,2.6322625698521733,0.9637996554374695,0.011224500834941864,0.03946057707071304,1.606978178024292,0.010799658484756947,1.4850594429299235,0.9637996554374695,1.606978178024292,0.010191532783210278,0.7315213680267334,0.22919097542762756,50000,0,64000,114000
0,6,X2,-0.31176644563674927,2.279532330110669,0.956779956817627,0.01110225822776556,0.017357978969812393,1.283712387084961,0.010579749010503292,0.8882688825950027,0.956779956817627,1.283712387084961,0.011077425442636013,0.28480449318885803,0.14428849518299103,50000,0,64000,114000
0,7,X2,-2.437455177307129,2.1678155567497015,0.9557715058326721,0.011081015691161156,0.013634182512760162,1.176742672920227,0.010586179792881012,0.7792260022833943,0.9557715058326721,1.1767429113388062,0.009915006347000599,0.2001185119152069,0.14268960058689117,50000,0,64000,114000
0,8,X1,-0.387634813785553,2.0872765462845564,0.9557735323905945,0.011049622669816017,0.012388716451823711,1.0975087881088257,0.010555886663496494,0.7255800593644381,0.9557735323905945,1.0975089073181152,0.010630259290337563,0.18557648360729218,0.11871682852506638,50000,0,64000,114000
0,9,X1,-2.7768871784210205,1.9811868472024798,0.9487805366516113,0.011025511659681797,0.012164028361439705,0.9987612366676331,0.010455533862113953,0.6297888897359372,0.9487805366516113,0.9987612366676331,0.009645085781812668,0.12732449173927307,0.1033109575510025,50000,0,64000,114000
0,10,X2,2.5020179748535156,1.9554647030308843,0.9492311477661133,0.011025456711649895,0.012305982410907745,0.9724389910697937,0.010463125072419643,0.6006113421171904,0.9492311477661133,0.9724389910697937,0.010657621547579765,0.10673554986715317,0.09888414293527603,50000,0,64000,114000
0,11,X2,-3.9414865970611572,1.93828019592911,0.9484363794326782,0.011025609448552132,0.012177432887256145,0.9561880230903625,0.010452751070261002,0.5875459909439087,0.9484363794326782,0.9561880230903625,0.010802492499351501,0.08916526287794113,0.1066533550620079,50000,0,64000,114000
0,12,X4,-2.8055031299591064,1.9214243879541755,0.9476239085197449,0.011053956113755703,0.011739935725927353,0.9406592845916748,0.010347303003072739,0.48412578366696835,0.9476239085197449,0.9406592845916748,0.01067187637090683,0.07951926440000534,0.01627800427377224,50000,0,64000,114000
0,13,X4,-1.5217863321304321,1.9177220165729523,0.9469404220581055,0.011054832488298416,0.011716165579855442,0.9376976490020752,0.010312947444617748,0.47154767625033855,0.9469404220581055,0.9376976490020752,0.009325174614787102,0.0722813755273819,0.013013511896133423,50000,0,64000,114000
0,14,X1,2.56419038772583,1.9194072531536222,0.9469398260116577,0.011054910719394684,0.014741862192749977,0.936357855796814,0.01031279843300581,0.48604767080396416,0.9469398260116577,0.936357855796814,0.009698886424303055,0.08538998663425446,0.014299261383712292,50000,0,64000,114000
0,15,X1,3.0992472171783447,1.9190889969468117,0.9478018879890442,0.011071067303419113,0.01401969138532877,0.9359151124954224,0.01028123777359724,0.4676320716738701,0.9478018879890442,0.9359151124954224,0.010760041885077953,0.06634435802698135,0.013784271664917469,50000,0,64000,114000
0,16,X1,2.9162628650665283,1.9171724515035748,0.9478034377098083,0.01107623241841793,0.011977722868323326,0.9360336661338806,0.010281392373144627,0.471200050227344,0.9478034377098083,0.9360337257385254,0.009691293351352215,0.06974206119775772,0.014999262988567352,50000,0,64000,114000
0,17,X1,3.3829429149627686,1.9164246451109648,0.9478036165237427,0.011079036630690098,0.011111377738416195,0.9362196922302246,0.010210921987891197,0.4626089183613658,0.9478036165237427,0.9362196922302246,0.01003522053360939,0.06172731891274452,0.014041717164218426,50000,0,64000,114000
0,18,X1,3.1716978549957275,1.9173314506188035,0.9490032196044922,0.011104511097073555,0.010243328288197517,0.9368738532066345,0.01010653842240572,0.46499434635043146,0.9490032196044922,0.9368738532066345,0.010451368987560272,0.06395407021045685,0.01341349259018898,50000,0,64000,114000
0,19,X2,1.808549165725708,1.9168889541178942,0.9483352303504944,0.01110673975199461,0.01020840648561716,0.9372369050979614,0.010001672431826591,0.4537772536277771,0.9483352303504944,0.9372368454933167,0.00970990490168333,0.05439549311995506,0.0125574404373765,50000,0,64000,114000
0,20,X4,-2.336292028427124,1.9171358151361346,0.9482566118240356,0.011125835590064526,0.010183068923652172,0.9375168681144714,0.010053430683910847,0.4552066337317229,0.9482566118240356,0.9375168681144714,0.010531091131269932,0.0546078197658062,0.012913026846945286,50000,0,64000,114000
0,21,X2,2.0201210975646973,1.9165271939709783,0.9477925896644592,0.011157741770148277,0.010139277204871178,0.937423825263977,0.010013760067522526,0.444445344991982,0.9477925896644592,0.937423825263977,0.010325386188924313,0.04396063834428787,0.013116037473082542,50000,0,64000,114000
0,22,X2,1.6341255903244019,1.916337807662785,0.9475436806678772,0.011161711998283863,0.010119818150997162,0.9374260902404785,0.010086506605148315,0.45665401592850685,0.9475436806678772,0.9374260902404785,0.009343757294118404,0.056051917374134064,0.01426438707858324,50000,0,64000,114000
0,23,X2,-1.5661828517913818,1.9157947190105915,0.9470580816268921,0.01116317417472601,0.010119861923158169,0.9374088644981384,0.010044736787676811,0.4484868805855513,0.9470580816268921,0.9374088644981384,0.010577327571809292,0.04726573824882507,0.013750425539910793,50000,0,64000,114000
0,24,X2,0.6904512047767639,1.9152570785954595,0.9466823935508728,0.01114681176841259,0.010133371688425541,0.9372803568840027,0.010014144703745842,0.4472789419814944,0.9466823935508728,0.9372803568840027,0.009210164658725262,0.04623628780245781,0.015039939433336258,50000,0,64000,114000
1,0,X1,-4.553349494934082,16.78494048304856,0.946787416934967,7.568014621734619,4.117470741271973,4.130248069763184,0.022419633343815804,27.340812814235687,0.946787416934967,4.130248069763184,19.730199813842773,5.831492900848389,0.763713002204895,50000,0,64000,114000
1,1,X1,5.0,5.477994347922504,0.946787416934967,0.5777833461761475,0.482880562543869,3.4588801860809326,0.01166283618658781,5.533263349533081,0.946787416934967,3.4588801860809326,0.3900683522224426,3.827495813369751,0.4345656633377075,50000,0,64000,114000
1,2,X4,-4.605098724365234,4.018740518018603,0.9511518478393555,0.019643330946564674,0.12358162552118301,2.910510778427124,0.013852935284376144,4.998291435092687,0.9511518478393555,2.910510778427124,0.02187710627913475,3.864938974380493,0.3391428291797638,50000,0,64000,114000
1,3,X2,-5.0,3.10912614595145,0.9449892640113831,0.012644276022911072,0.05636879801750183,2.084170341491699,0.010953466407954693,2.063684512861073,0.9449892640113831,2.084170341491699,0.013274704106152058,1.2007428407669067,0.24383504688739777,50000,0,64000,114000
1,4,X4,1.7986176013946533,2.7996586011722684,0.9454115033149719,0.012139135971665382,0.04087669402360916,1.7905290126800537,0.010702255181968212,1.901395969092846,0.9454115033149719,1.7905290126800537,0.010111667215824127,1.098253607749939,0.2458425909280777,50000,0,64000,114000
1,5,X2,4.978938579559326,2.555050713941455,0.9451233744621277,0.012015889398753643,0.028386520221829414,1.5588797330856323,0.01064519677311182,1.9580139180645348,0.9451233744621277,1.5588797330856323,0.010158508084714413,1.2270516157150269,0.2200031727552414,50000,0,64000,114000
1,6,X2,0.384402334690094,2.236999827437103,0.9449122548103333,0.011708112433552742,0.018403640016913414,1.251424789428711,0.01055103074759245,1.1827045137062668,0.9449122548103333,1.251424789428711,0.01028690580278635,0.6050594449043274,0.1280907541513443,50000,0,64000,114000
