episode,episode_final_loss
0,1.9152570785954595
1,1.9142065392807126
2,1.9164718398824334
3,1.9133149376139045
4,1.9127687299624085
5,1.9200621554628015
6,1.9134508334100246
7,1.9160191165283322
8,1.9139161659404635
9,1.9177166549488902
10,1.9138291189447045
11,1.915295441634953
12,1.921322482638061
13,1.9140285002067685
14,1.913229513913393
15,1.9125654734671116
16,1.9143335726112127
17,1.9194001983851194
18,1.9137218780815601
19,1.9180918438360095
20,1.9146633157506585
21,1.9125856328755617
22,1.9136435398831964
23,1.9153881892561913
24,1.9135802667587996
25,1.9146542940288782
26,1.9157737838104367
27,1.912220156751573
28,1.914642220363021
29,1.9147753436118364
30,1.915556495077908
31,1.9235584093257785
32,1.9139916757121682
33,1.913248729892075
34,1.9163988186046481
35,1.9157159179449081
36,1.915596030652523
37,1.9129653610289097
38,1.913683520630002
39,1.9144636262208223
