track,seed,method,budget,nodes,changed,rounds,mse,changed_mse,unchanged_mse
transfer,123,scratch_uniform,128,30,1,1,0.7240333134600679,1.012331330472945,0.7140920025285895
transfer,123,scratch_uniform,160,30,1,5,0.7005987625868333,1.012331330472945,0.6898493636942087
transfer,123,scratch_uniform,200,30,1,10,0.6994949073960122,1.012331330472945,0.6887074445312904
transfer,123,scratch_uniform,280,30,1,20,0.31959909235298833,0.04811318611278599,0.3289606753267884
transfer,123,scratch_uniform,400,30,1,35,0.05276949272736319,0.04811318611278599,0.05293005502441759
transfer,123,warm_uniform,128,30,1,1,0.030631581485897307,0.20933238611783606,0.024469484774451142
transfer,123,warm_uniform,160,30,1,5,0.02864081426623821,0.20933238611783606,0.022410070409286557
transfer,123,warm_uniform,200,30,1,10,0.026919140819305337,0.20933238611783606,0.02062902891245945
transfer,123,warm_uniform,280,30,1,20,0.018444369364984878,0.0409601394710852,0.017667963499257283
transfer,123,warm_uniform,400,30,1,35,0.016627918473304245,0.0409601394710852,0.015788876369932488
transfer,123,warm_residual,128,30,1,1,0.025618500793934,0.015336399685319878,0.025973056004575865
transfer,123,warm_residual,160,30,1,5,0.02062653967232648,0.015336399685319878,0.020808958292568087
transfer,123,warm_residual,200,30,1,10,0.01792190172285275,0.015336399685319878,0.018011056965526295
transfer,123,warm_residual,280,30,1,20,0.012133449371748243,0.014963574714877923,0.012035858842674808
transfer,123,warm_residual,400,30,1,35,0.009200651959582045,0.007526737683666651,0.00925837314151016
transfer,123,module_residual,128,30,1,1,0.025974772792255192,0.026024559634955726,0.025973056004575865
transfer,123,module_residual,160,30,1,5,0.02116802507573741,0.026024559634955726,0.021000558366798847
transfer,123,module_residual,200,30,1,10,0.018021575401177953,0.026024559634955726,0.017745610427599413
transfer,123,module_residual,280,30,1,20,0.013180325995179494,0.026024559634955726,0.01273742138691135
transfer,123,module_residual,400,30,1,35,0.010855720824816702,0.026024559634955726,0.010332657417570532
