dpo_loss,reward,cov_bonus,score,target,value,episode,step,run_started_at,run_dir,train_candidates_total,train_candidates_parsed,train_candidates_invalid,train_candidate_parse_rate,train_steps_total,train_steps_with_any_valid_candidate,train_steps_teacher_fallback,train_teacher_fallback_rate
0.6931471824645996,0.1,23.307726373372535,23.407726373372537,X2,4.6659,0,0,2026-01-27T22:07:17,results/ablations_complete/no_convergence/seed_456/run_20260127_220717_seed456,3510,6,3504,0.0017094017094017094,1050,6,1022,0.9733333333333334
0.6774182915687561,0.1,17.185730411511596,17.285730411511597,X2,1.4815,0,1,2026-01-27T22:07:17,results/ablations_complete/no_convergence/seed_456/run_20260127_220717_seed456,3510,6,3504,0.0017094017094017094,1050,6,1022,0.9733333333333334
0.6602671146392822,0.1,5.372047532197109,5.4720475321971085,X2,2.8957,0,2,2026-01-27T22:07:17,results/ablations_complete/no_convergence/seed_456/run_20260127_220717_seed456,3510,6,3504,0.0017094017094017094,1050,6,1022,0.9733333333333334
0.6614529490470886,0.1,27.941099371694833,28.041099371694834,X1,4.8658,0,3,2026-01-27T22:07:17,results/ablations_complete/no_convergence/seed_456/run_20260127_220717_seed456,3510,6,3504,0.0017094017094017094,1050,6,1022,0.9733333333333334
0.659605085849762,0.1,15.415544619763056,15.515544619763055,X4,-0.3256,0,4,2026-01-27T22:07:17,results/ablations_complete/no_convergence/seed_456/run_20260127_220717_seed456,3510,6,3504,0.0017094017094017094,1050,6,1022,0.9733333333333334
0.6716094613075256,0.1,3.2030205856164216,3.3030205856164216,X1,-3.1494,0,5,2026-01-27T22:07:17,results/ablations_complete/no_convergence/seed_456/run_20260127_220717_seed456,3510,6,3504,0.0017094017094017094,1050,6,1022,0.9733333333333334
0.6785362958908081,0.1,16.994391360857826,17.094391360857827,X4,2.856,0,6,2026-01-27T22:07:17,results/ablations_complete/no_convergence/seed_456/run_20260127_220717_seed456,3510,6,3504,0.0017094017094017094,1050,6,1022,0.9733333333333334
0.6552681922912598,0.1,14.986895110077503,15.086895110077503,X4,0.7982,0,7,2026-01-27T22:07:17,results/ablations_complete/no_convergence/seed_456/run_20260127_220717_seed456,3510,6,3504,0.0017094017094017094,1050,6,1022,0.9733333333333334
0.659342885017395,0.1,14.777738071498232,14.877738071498232,X4,3.1303,0,8,2026-01-27T22:07:17,results/ablations_complete/no_convergence/seed_456/run_20260127_220717_seed456,3510,6,3504,0.0017094017094017094,1050,6,1022,0.9733333333333334
0.6429831385612488,0.1,14.730250592156239,14.830250592156238,X4,-1.3706,0,9,2026-01-27T22:07:17,results/ablations_complete/no_convergence/seed_456/run_20260127_220717_seed456,3510,6,3504,0.0017094017094017094,1050,6,1022,0.9733333333333334
0.6139983534812927,0.1,20.637197631500097,20.7371976315001,X2,1.4665,1,0,2026-01-27T22:07:17,results/ablations_complete/no_convergence/seed_456/run_20260127_220717_seed456,3510,6,3504,0.0017094017094017094,1050,6,1022,0.9733333333333334
0.6338344216346741,0.1,28.128243204445038,28.22824320444504,X1,2.9788,1,1,2026-01-27T22:07:17,results/ablations_complete/no_convergence/seed_456/run_20260127_220717_seed456,3510,6,3504,0.0017094017094017094,1050,6,1022,0.9733333333333334
0.5902455449104309,0.1,18.253497814423874,18.353497814423875,X1,1.8348,1,2,2026-01-27T22:07:17,results/ablations_complete/no_convergence/seed_456/run_20260127_220717_seed456,3510,6,3504,0.0017094017094017094,1050,6,1022,0.9733333333333334
0.6172454357147217,0.1,8.07368414709669,8.17368414709669,X2,-1.8635,1,3,2026-01-27T22:07:17,results/ablations_complete/no_convergence/seed_456/run_20260127_220717_seed456,3510,6,3504,0.0017094017094017094,1050,6,1022,0.9733333333333334
0.6065125465393066,0.1,16.216729789637565,16.316729789637566,X2,2.0128,1,4,2026-01-27T22:07:17,results/ablations_complete/no_convergence/seed_456/run_20260127_220717_seed456,3510,6,3504,0.0017094017094017094,1050,6,1022,0.9733333333333334
0.6183480024337769,0.1,10.373045812329188,10.473045812329188,X2,-1.0419,1,5,2026-01-27T22:07:17,results/ablations_complete/no_convergence/seed_456/run_20260127_220717_seed456,3510,6,3504,0.0017094017094017094,1050,6,1022,0.9733333333333334
0.6223113536834717,0.1,7.616567213292573,7.7165672132925724,X2,3.9001,1,6,2026-01-27T22:07:17,results/ablations_complete/no_convergence/seed_456/run_20260127_220717_seed456,3510,6,3504,0.0017094017094017094,1050,6,1022,0.9733333333333334
0.749942421913147,0.1,2.441041549823423,2.541041549823423,X1,-2.582,1,7,2026-01-27T22:07:17,results/ablations_complete/no_convergence/seed_456/run_20260127_220717_seed456,3510,6,3504,0.0017094017094017094,1050,6,1022,0.9733333333333334
0.6398520469665527,0.1,1.9364674748519104,2.0364674748519103,X1,2.8558,1,8,2026-01-27T22:07:17,results/ablations_complete/no_convergence/seed_456/run_20260127_220717_seed456,3510,6,3504,0.0017094017094017094,1050,6,1022,0.9733333333333334
0.63694167137146,0.1,2.632857772449829,2.732857772449829,X2,1.1967,1,9,2026-01-27T22:07:17,results/ablations_complete/no_convergence/seed_456/run_20260127_220717_seed456,3510,6,3504,0.0017094017094017094,1050,6,1022,0.9733333333333334
0.7234081029891968,0.1,9.109691047002892,9.209691047002892,X4,2.7854,1,10,2026-01-27T22:07:17,results/ablations_complete/no_convergence/seed_456/run_20260127_220717_seed456,3510,6,3504,0.0017094017094017094,1050,6,1022,0.9733333333333334
