episode,step,total_loss,loss_X1,loss_X3,loss_X5,loss_X10,loss_X11,loss_X12,loss_X13,loss_X14,loss_X15,loss_X16,loss_X17,loss_X18,loss_X19,loss_X20,loss_X21,loss_X22,loss_X23,loss_X24,loss_X25,loss_X26,loss_X27,loss_X28,loss_X29,loss_X30,loss_X6,loss_X7,loss_X8,loss_X9
0,0,50.86835001707077,0.9554615020751953,1.0168070793151855,1.146030306816101,2.3976635932922363,2.6663010120391846,1.3219633102416992,0.9585103392601013,1.4462651014328003,2.577181100845337,1.765291690826416,0.9831773042678833,3.2255756855010986,2.20392107963562,1.5365337133407593,1.1728107929229736,2.080538749694824,4.432275295257568,1.5812060832977295,3.0334324836730957,3.2864067554473877,1.2648320198059082,1.1020430326461792,1.0710264444351196,1.4108155965805054,1.6294904947280884,1.6946810483932495,3.9670228958129883,1.4357246160507202
0,1,10.313081726059318,0.9747500419616699,1.0160160064697266,1.1430913209915161,2.355703830718994,0.032849572598934174,0.10098709166049957,0.07409490644931793,0.055914223194122314,1.7102211713790894,0.031436264514923096,0.14090482890605927,1.3212571144104004,0.02203720435500145,0.03468206897377968,0.10731162875890732,0.28615209460258484,0.28104904294013977,2.5393476486206055,0.12411236763000488,0.13591624796390533,0.07886338979005814,0.04134054854512215,0.04479549825191498,0.033705808222293854,0.041208166629076004,0.025218263268470764,0.03606533631682396,0.031135933473706245
0,2,3.962814325466752,0.9585765600204468,1.0153802633285522,1.1464887857437134,0.027473270893096924,0.02694597654044628,0.25893205404281616,0.0629144012928009,0.047614164650440216,0.07985954731702805,0.04098130762577057,0.21600520610809326,0.18576641380786896,0.040011290460824966,0.04527107626199722,0.34799957275390625,0.3041045069694519,0.08282653987407684,0.7506007552146912,0.11749178916215897,0.11711268126964569,0.03399265184998512,0.10848776251077652,0.2929445803165436,0.04316437989473343,0.02994721569120884,0.024396667256951332,0.03264859318733215,0.02123279869556427
0,3,5.114111002162099,0.968370795249939,1.0149421691894531,1.1478538513183594,0.030317489057779312,0.026994653046131134,0.3317291736602783,0.10400132089853287,0.0853857547044754,0.10284169018268585,0.028597213327884674,0.21391956508159637,0.12320533394813538,0.026076802983880043,0.06030039116740227,0.5003930330276489,2.242767095565796,0.12281521409749985,0.04368700459599495,0.0652727484703064,0.03174972906708717,0.03129162639379501,0.05771386995911598,0.0812554582953453,0.06247248128056526,0.03168973699212074,0.024290645495057106,0.03684603422880173,0.022263573482632637
0,4,3.986638655513525,0.958821177482605,1.0147762298583984,1.1454523801803589,0.026222916319966316,0.04427075758576393,0.33233267068862915,0.0783984512090683,0.16810312867164612,0.09616165608167648,0.08691525459289551,0.12216342240571976,0.06716368347406387,0.02291172370314598,0.11337676644325256,0.22632014751434326,0.7539727687835693,0.7606142163276672,0.060930170118808746,0.10114387422800064,0.018986549228429794,0.021640820428729057,0.027728062123060226,0.0436970591545105,0.06969764828681946,0.04071655124425888,0.023518560454249382,0.03073919005692005,0.025102648884058
0,5,3.5491136487573387,0.958924412727356,1.0151097774505615,1.1458860635757446,0.022609690204262733,0.04313768073916435,0.29024940729141235,0.1881919652223587,0.12334144115447998,0.08453007787466049,0.12588174641132355,0.0779004916548729,0.0691060796380043,0.02330896072089672,0.08916012942790985,0.09286060184240341,0.9637247323989868,0.26233017444610596,0.05765313282608986,0.08369889855384827,0.02465367689728737,0.02530103735625744,0.0288082342594862,0.06027235835790634,0.06181558966636658,0.04055405035614967,0.02147366665303707,0.03862055391073227,0.02594522014260292
0,6,2.8451498970389366,0.9588727355003357,1.0154485702514648,1.1432719230651855,0.02262987568974495,0.05101529508829117,0.2686215341091156,0.16613300144672394,0.13456620275974274,0.1272774338722229,0.09801784157752991,0.0811898484826088,0.04568878561258316,0.027206486091017723,0.054061420261859894,0.18394237756729126,0.07817982882261276,0.3778151869773865,0.09465684741735458,0.10315708070993423,0.023566599935293198,0.022892529144883156,0.0399731770157814,0.0551069974899292,0.03263121470808983,0.03233750909566879,0.02841421589255333,0.045851852744817734,0.02669810876250267
0,7,2.608567912876606,0.957912027835846,1.015042781829834,1.1452789306640625,0.026454748585820198,0.04581565782427788,0.3324779272079468,0.08944640308618546,0.07190538942813873,0.1886947900056839,0.11244924366474152,0.025755345821380615,0.05538653954863548,0.024225279688835144,0.054062649607658386,0.14774499833583832,0.11282869428396225,0.06106734648346901,0.15701588988304138,0.1617632359266281,0.02643490396440029,0.02339661866426468,0.056583523750305176,0.05805176496505737,0.030256660655140877,0.043836191296577454,0.023222321644425392,0.03291761130094528,0.02312742918729782
0,8,2.2497745480388405,0.95787513256073,1.0150161981582642,1.147326946258545,0.021895509213209152,0.04425480589270592,0.02823546901345253,0.12054213881492615,0.06258255243301392,0.09083561599254608,0.026571420952677727,0.03413551673293114,0.07304941117763519,0.02631453238427639,0.04556513577699661,0.1949789673089981,0.1375931203365326,0.07830265909433365,0.18961873650550842,0.1277696192264557,0.024286240339279175,0.02095158025622368,0.06299896538257599,0.06171958148479462,0.027536289766430855,0.04040573164820671,0.02281971648335457,0.037183403968811035,0.02558417245745659
0,9,2.1783274609595535,0.9593966007232666,1.0149461030960083,1.14676833152771,0.02265188843011856,0.06029877811670303,0.030337100848555565,0.16342701017856598,0.06070501357316971,0.11320631951093674,0.02463691122829914,0.033685553818941116,0.08140610158443451,0.024697937071323395,0.032881662249565125,0.06776989996433258,0.12638765573501587,0.07453608512878418,0.19135107100009918,0.14449866116046906,0.024189354851841927,0.023057475686073303,0.05227689445018768,0.06275033205747604,0.026542408391833305,0.0287493709474802,0.02328317053616047,0.03524181619286537,0.025536781176924706
0,10,2.2346250284463167,0.957903265953064,1.0147684812545776,1.1470025777816772,0.022479277104139328,0.059742242097854614,0.03144155070185661,0.16994041204452515,0.05358804762363434,0.1355120688676834,0.02313445508480072,0.043708574026823044,0.06210096925497055,0.02457071654498577,0.024267880246043205,0.06718503683805466,0.1105608195066452,0.05259019508957863,0.24654251337051392,0.18475569784641266,0.027414314448833466,0.021631821990013123,0.04068653658032417,0.06520731002092361,0.027327455580234528,0.029269477352499962,0.02297607623040676,0.03862898796796799,0.02542772702872753
0,11,2.2532022934406997,0.9565633535385132,1.0151259899139404,1.1464321613311768,0.023673130199313164,0.046557068824768066,0.03167806565761566,0.18189965188503265,0.04710865393280983,0.06543642282485962,0.02518603950738907,0.028373369947075844,0.057550955563783646,0.021618986502289772,0.02295653149485588,0.078340545296669,0.11382214725017548,0.05327770859003067,0.2655780613422394,0.25664985179901123,0.026100216433405876,0.02437351457774639,0.04693603515625,0.06292540580034256,0.031042998656630516,0.03343411907553673,0.024669170379638672,0.038929156959056854,0.021460184827446938
0,12,2.239047270268202,0.9577521085739136,1.015331745147705,1.1471424102783203,0.02050446718931198,0.04064705967903137,0.03173159062862396,0.19407179951667786,0.05155322328209877,0.06928513199090958,0.0229191854596138,0.02848457731306553,0.04746128246188164,0.02313937619328499,0.02506869100034237,0.07056605070829391,0.10625912994146347,0.03840569034218788,0.3136416971683502,0.2384878247976303,0.025885669514536858,0.023405466228723526,0.03892228379845619,0.059181563556194305,0.03123125061392784,0.025017915293574333,0.025307083502411842,0.04019279032945633,0.02363121695816517
0,13,1.9290786098688841,0.9593978524208069,1.015822410583496,1.1486817598342896,0.020515454933047295,0.06734615564346313,0.03778888285160065,0.24147194623947144,0.04819221422076225,0.03313688933849335,0.025872167199850082,0.028456084430217743,0.04694348946213722,0.020976843312382698,0.025809647515416145,0.03322276473045349,0.10699517279863358,0.049681905657052994,0.14914441108703613,0.09859125316143036,0.02791219763457775,0.020075809210538864,0.032302312552928925,0.04061222821474075,0.03835732117295265,0.02558707445859909,0.022010501474142075,0.039019085466861725,0.02427639253437519
