seed,changed,change_type,method,target_budget,source_samples,mse,changed_mse,unchanged_mse,old_selection_mass
3004,3,family,scratch,120,2560,0.6777981439179402,0.8828197741202497,0.6550179627843504,
3004,3,family,warm,120,2560,0.09384898540203863,0.6549028382095535,0.03150966842342589,
3004,3,family,source_retrieval,120,2560,0.09301944738953087,0.032538158809804776,0.09973959056505599,0.5666666666666667
3004,3,family,source_mixture,120,2560,0.0349808435408052,0.032538158809804776,0.0352522529553608,0.7528611666741281
3004,3,family,scratch,200,2560,0.3240553722809346,0.6661522836583063,0.2860446043501156,
3004,3,family,warm,200,2560,0.07147779170494716,0.3810896419414657,0.03707647501200065,
3004,3,family,source_retrieval,200,2560,0.09080600210102814,0.03997717806452121,0.09645364921619558,0.5666666666666667
3004,3,family,source_mixture,200,2560,0.0404473757664986,0.03997717806452121,0.04049961995560719,0.7528611666741281
3004,3,family,scratch,400,2560,0.03142737626977282,0.039653185918400835,0.030513397419925266,
3004,3,family,warm,400,2560,0.014889596552870171,0.015759896798949728,0.014792896525527998,
3004,3,family,source_retrieval,400,2560,0.01721432704304092,0.012223140477567432,0.01776890332809353,0.5666666666666667
3004,3,family,source_mixture,400,2560,0.014930576080690287,0.012223140477567432,0.01523140225881505,0.7528611666741281
