dpo_loss,reward,cov_bonus,score,target,value,episode,step
0.69140625,-0.7061839587986611,4.690679468147116,3.984495509348455,X2,1.5,0,1
0.69140625,9.406239125877633,0.042276157687940775,9.448515283565573,X2,1.5,0,7
0.69140625,29.29570259526373,4.412219594426114,33.707922189689846,X2,1.5,1,1
0.69140625,14.02393202483654,3.385295459445978,17.409227484282518,X2,1.5,1,2
0.69140625,7.278244711458683,3.413764424904696,100.0,X3,-2.759346847207315,1,3
0.51171875,-1.5,0.11051327130321312,100.0,X4,-4.03056261109178,1,4
0.69140625,-0.4804369695484638,0.11991031181072205,100.0,X3,3.7325913753850273,1,5
0.51171875,4.373637270182382,0.16673553461251253,100.0,X4,1.417068279501036,1,6
0.37109375,2.3631789125502074,0.11758552646833667,100.0,X3,-0.19657942412175622,1,7
0.26171875,-1.5,0.11683871505082064,100.0,X4,-3.3876338682385363,1,9
0.69140625,6.280002802610387,0.09019727772695577,6.370200080337343,X2,1.5,1,10
0.18359375,-2.0,0.05225388846831705,100.0,X3,-3.477796596139111,1,13
0.69140625,15.548602044582385,5.867465646668735,33.75124144765333,X2,1.5,2,1
0.126953125,28.33452201634646,4.209986501421154,100.0,X4,-2.556949474243063,2,2
0.69140625,4.498795177787542,0.10257305055960163,17.05913560315586,X2,1.5,2,4
0.039794921875,-2.0,0.07972390564343565,100.0,X3,-3.634736449236823,2,5
0.69140625,7.577774409204725,0.05800377657359821,19.89006980678968,X2,1.5,2,8
0.0181884765625,-2.0,0.05645183598412776,100.0,X4,-3.757394227717291,2,9
0.69140625,2.970407858490951,0.04942966320408271,15.585260544398455,X2,1.5,2,10
0.69140625,14.005284268409,0.04241742791344681,26.399521436223537,X2,1.5,2,11
0.69140625,152.8397094346583,2.200958580897305,167.6261582308727,X2,1.5,3,1
0.0002307891845703125,-2.0,0.27583249248069847,100.0,X4,-2.436316157401458,3,3
0.69140625,9.506528422236435,0.09287978064913961,22.237559691928,X2,1.5,3,4
0.69140625,-1.5703218057751656,0.09929799602595041,10.9867435650595,X2,1.5,3,5
0.002471923828125,-2.0,0.12146372918230856,100.0,X3,2.513023868321781,3,7
6.628036499023438e-05,39.40824171155691,2.2578251853373503,100.0,X4,-4.2627724670888725,4,2
0.69140625,2.0917772613465857,0.09134117841535722,14.565035803348701,X2,1.5,4,4
6.628036499023438e-05,14.315596137195836,0.08443507900822737,100.0,X3,-1.962019165548571,4,5
0.69140625,9.636693872511373,0.08667543249222708,22.278367931240798,X2,1.5,4,6
0.69140625,26.31974938884378,0.06410422620477903,38.795904649419576,X2,1.5,4,7
0.000461578369140625,0.0,0.20336738261326343,100.0,X3,1.9095346654472865,5,3
1.7881393432617188e-05,0.0,0.08490188228282561,100.0,X4,0.7879167064659587,5,6
2.765655517578125e-05,0.0,0.07473626471389079,100.0,X4,1.3593468411416056,6,6
3.7550926208496094e-06,0.0,0.0577459464212834,100.0,X3,-2.6773951473223843,6,9
4.029273986816406e-05,0.0,0.06640983964446842,100.0,X3,-0.42014832436820715,7,6
0.69140625,7.213635757565484,0.05629432708869849,19.700171550304383,X2,1.5,7,7
3.7550926208496094e-06,0.0,0.05157607309724394,100.0,X4,-3.541685081503736,7,9
8.463859558105469e-06,0.0,1.6949845281982936,100.0,X3,3.147419728248394,8,3
1.1399388313293457e-06,-2.0,0.10225767713733455,100.0,X4,-3.193288786888775,8,6
8.463859558105469e-06,0.0,0.08428644299626933,100.0,X3,-0.19042667887082665,8,9
1.6614794731140137e-06,0.0,0.09862630329422495,100.0,X4,-3.641417312177503,9,3
0.69140625,-0.6662287749350071,0.09133216148411577,11.73203484830865,X2,1.5,9,5
5.453824996948242e-06,0.0,0.09313692036037449,100.0,X3,0.5662219193147822,9,6
1.7881393432617188e-05,0.0,0.0732833252996658,100.0,X4,2.0188006021827034,9,9
2.765655517578125e-05,-2.0,0.061393259093798114,100.0,X3,-2.0965986382286905,9,13
5.453824996948242e-06,0.0,0.1308571412420049,100.0,X4,4.576135360549884,10,2
8.463859558105469e-06,0.0,0.08986739603020197,100.0,X3,-2.912025843191249,10,5
0.69140625,-1.0336199142038893,0.08054078516106937,11.988405870680516,X2,1.5,10,7
1.6614794731140137e-06,0.0,0.0675182357955825,100.0,X3,-1.7418618157631158,11,4
1.7881393432617188e-05,0.0,0.0677496303456692,100.0,X4,3.381820257817644,11,7
1.2278556823730469e-05,0.0,0.22493158422760953,100.0,X3,-1.5940081837439202,12,3
0.69140625,2.3841936811804842,0.06715495989790282,14.733475479921541,X2,1.5,12,5
5.453824996948242e-06,-2.0,0.06240747902090278,100.0,X4,-2.0841181539851727,12,6
1.2278556823730469e-05,-2.0,0.10155598015091775,100.0,X4,-1.5838819050845299,13,5
