track,seed,method,budget,nodes,changed,rounds,mse,changed_mse,unchanged_mse
transfer,456,scratch_uniform,128,30,1,1,0.5885464671972417,3.364315324139416,0.492830299716477
transfer,456,scratch_uniform,160,30,1,5,0.54039683838858,3.364315324139416,0.4430203388799305
transfer,456,scratch_uniform,200,30,1,10,0.3800320524209008,3.364315324139416,0.27712573270646934
transfer,456,scratch_uniform,280,30,1,20,0.2979528473759407,3.364315324139416,0.1922162102461657
transfer,456,scratch_uniform,400,30,1,35,0.030356205668354595,0.13749712664324273,0.02666169115197914
transfer,456,warm_uniform,128,30,1,1,0.11179668315517015,2.8512609597064107,0.017332397756851504
transfer,456,warm_uniform,160,30,1,5,0.10996133289569479,2.8512609597064107,0.015433759557394237
transfer,456,warm_uniform,200,30,1,10,0.10983581474780207,2.8512609597064107,0.015303913197505235
transfer,456,warm_uniform,280,30,1,20,0.10602603485026212,2.8512609597064107,0.01136276157936044
transfer,456,warm_uniform,400,30,1,35,0.012364974168898707,0.011366583319339003,0.01239940143957318
transfer,456,warm_residual,128,30,1,1,0.01723809143812231,0.01059093289967367,0.01746730380151709
transfer,456,warm_residual,160,30,1,5,0.014033569763951554,0.01059093289967367,0.014152281379961136
transfer,456,warm_residual,200,30,1,10,0.010151247102134133,0.01059093289967367,0.010136085522908633
transfer,456,warm_residual,280,30,1,20,0.0092622604283295,0.01059093289967367,0.009216444136214183
transfer,456,warm_residual,400,30,1,35,0.008025010703462787,0.01059093289967367,0.007936530627731378
transfer,456,module_residual,128,30,1,1,0.017162353832477464,0.008318804730328392,0.01746730380151709
transfer,456,module_residual,160,30,1,5,0.014950027930578943,0.008318804730328392,0.0151786907995531
transfer,456,module_residual,200,30,1,10,0.011461502532313348,0.008318804730328392,0.011569871422036969
transfer,456,module_residual,280,30,1,20,0.009305138928304806,0.008318804730328392,0.009339150452372958
transfer,456,module_residual,400,30,1,35,0.00810269009702456,0.008318804730328392,0.008095237868289945
