step,target,value,query_samples,observed_total_loss,broad_total_loss
0,X1,-5.0,50,15.13965591788292,25.618785572052
1,X2,-4.0,100,17.569909252226353,26.94984565973282
2,X4,-3.0,150,6.718926701694727,5.741747635602951
3,X1,-2.0,240,5.10606193728745,2.511284788697958
4,X2,-1.0,290,4.8722396939992905,3.1752788320183756
5,X4,0.0,340,4.664580300450325,3.9665357191115618
6,X1,1.0,430,4.3874073009938,4.562203850597143
7,X2,2.0,480,4.30237091332674,2.3600903894752263
8,X4,3.0,530,4.1566618755459785,1.7762931656092404
9,X1,4.0,620,4.09710861556232,1.4522373598068952
10,X2,5.0,670,3.9873214727267623,1.4437522631138564
11,X4,-5.0,720,3.836320588365197,1.4449713667854667
12,X1,-4.0,810,3.637003074400127,1.1884955940768123
13,X2,-3.0,860,3.5444615250453353,1.1020468644797803
14,X4,-2.0,910,3.4518874594941735,0.9897385615855456
15,X1,-1.0,1000,3.2890122393146157,0.8941161407157779
16,X2,0.0,1050,3.21384909003973,0.8361834697425365
17,X4,1.0,1100,3.1409881645813584,0.8014667389914394
18,X1,2.0,1190,3.0004125693812966,0.7547723706811666
19,X2,3.0,1240,2.938771684654057,0.7382703289389612
20,X4,4.0,1290,2.879652241244912,0.7237519105896354
21,X1,5.0,1380,2.768078764900565,0.6930186605080962
22,X2,-5.0,1430,2.716518326662481,0.6829017186537385
23,X4,-4.0,1480,2.666837537661195,0.66855448782444
24,X1,-3.0,1570,2.572424767538905,0.6433261871337891
25,X2,-2.0,1620,2.530051838606596,0.6290357001125813
26,X4,-1.0,1670,2.489558878354728,0.6164855243638159
27,X1,0.0,1760,2.415522956289351,0.5978112105280161
28,X2,1.0,1810,2.38137976359576,0.5832005282863975
29,X4,2.0,1860,2.348938763141632,0.5726078594103456
30,X1,3.0,1950,2.2946732752025127,0.5607318708673119
31,X2,4.0,2000,2.267364714294672,0.5564946323633194
