episode,step,total_loss,loss_n_779b,loss_n_beab,loss_n_d82a,loss_n_2468,loss_n_29ef,loss_n_2f4f,loss_n_30f4,loss_n_3322,loss_n_3854,loss_n_38c5,loss_n_574d,loss_n_5c3c,loss_n_639c,loss_n_702d,loss_n_747a,loss_n_7f0b,loss_n_7f6e,loss_n_8342,loss_n_85a5,loss_n_8f6b,loss_n_95d1,loss_n_aded,loss_n_aef3,loss_n_b7e2,loss_n_b8ce,loss_n_c5e8,loss_n_e6a7,loss_n_e8dc
0,0,52.43124811649322,0.9554615020751953,1.0168070793151855,1.146030306816101,0.9968588352203369,1.6593350172042847,1.7919021844863892,1.6053909063339233,1.7807772159576416,2.8061556816101074,4.829087734222412,2.5610148906707764,1.1467124223709106,2.704390048980713,1.2272870540618896,2.3709373474121094,1.8080530166625977,3.927140712738037,1.3637646436691284,3.237884759902954,0.9337218999862671,2.2094902992248535,1.451453685760498,1.818235158920288,1.3756086826324463,3.804365634918213,1.6283694505691528,1.1431493759155273,1.6265016794204712
0,1,6.901168049871922,0.9747500419616699,1.0160160064697266,1.1430913209915161,0.036236271262168884,0.030863363295793533,0.02795393019914627,0.06049931049346924,0.099465511739254,0.24663853645324707,2.6200268268585205,0.16806301474571228,0.1259606033563614,0.03162546083331108,0.0472513809800148,0.025318751111626625,0.02415367402136326,0.0366990864276886,0.03252393379807472,0.09615626931190491,0.025879040360450745,0.051975857466459274,0.34314197301864624,0.05557910352945328,0.12676918506622314,0.24423877894878387,1.6023120880126953,0.08718840777873993,0.027876216918230057
0,2,5.060073122382164,0.9585765600204468,1.0153802633285522,1.1464887857437134,0.03517451882362366,0.029358243569731712,0.029275977984070778,0.055312782526016235,0.3263353109359741,1.1111146211624146,0.6151869297027588,0.12780366837978363,0.22101156413555145,0.025400357320904732,0.06759564578533173,0.03352949395775795,0.025313280522823334,0.035881150513887405,0.028782375156879425,0.1304105818271637,0.02690608613193035,0.060634858906269073,0.2135636806488037,0.0961420014500618,0.6161972880363464,0.1593283712863922,0.07348927855491638,0.08085135370492935,0.211384579539299
0,3,3.557786851748824,0.968370795249939,1.0149421691894531,1.1478538513183594,0.02669885940849781,0.030508466064929962,0.030056897550821304,0.07334522157907486,0.05174848064780235,0.15370376408100128,0.08560389280319214,0.21764317154884338,0.37566816806793213,0.025256464257836342,0.07946164160966873,0.03375670686364174,0.0324612557888031,0.03177080303430557,0.025622541084885597,0.23660002648830414,0.031782303005456924,0.07944651693105698,0.11770108342170715,0.16183766722679138,0.4887825846672058,0.12308410555124283,0.047439057379961014,0.054368142038583755,0.31720566749572754
0,4,3.3805499780923127,0.958821177482605,1.0147762298583984,1.1454523801803589,0.0235800389200449,0.04391626641154289,0.026752611622214317,0.1841641515493393,0.05349445343017578,0.06571915000677109,0.13308066129684448,0.6655105948448181,0.12614981830120087,0.02610980160534382,0.12742599844932556,0.023828797042369843,0.025960290804505348,0.02676229737699032,0.029236946254968643,0.1711965650320053,0.0458187460899353,0.11013054102659225,0.058959998190402985,0.10135267674922943,0.12160056829452515,0.10205557197332382,0.11879725009202957,0.13872815668582916,0.2064080685377121
0,5,3.73033592030406,0.9584182500839233,1.0149253606796265,1.1452431678771973,0.026167884469032288,0.039860427379608154,0.026017650961875916,0.2654993236064911,0.04788805916905403,0.059461455792188644,0.13347941637039185,0.6589576601982117,0.04404643923044205,0.02616933360695839,0.1410844773054123,0.026843730360269547,0.02206641063094139,0.02924872189760208,0.029934512451291084,0.23696258664131165,0.02559216134250164,0.10470452159643173,0.07074198871850967,0.27442288398742676,0.11406099051237106,0.2150416523218155,0.15888641774654388,0.1943652629852295,0.13511459529399872
0,6,5.005358481034636,0.9610967040061951,1.0156636238098145,1.1457582712173462,0.030321022495627403,0.03931044787168503,0.027581239119172096,0.16506889462471008,0.046194180846214294,0.05227785184979439,0.16605524718761444,2.245772361755371,0.04026012867689133,0.024654116481542587,0.10068084299564362,0.025539612397551537,0.025866789743304253,0.033068642020225525,0.028320763260126114,0.2393602430820465,0.024815144017338753,0.07442556321620941,0.11615370213985443,0.12786975502967834,0.17259809374809265,0.12530511617660522,0.031358007341623306,0.2996295392513275,0.11836745589971542
0,7,3.180816016346216,0.9581232666969299,1.0157676935195923,1.1443110704421997,0.03411358594894409,0.043821319937705994,0.027354853227734566,0.17680463194847107,0.03432169184088707,0.07066719979047775,0.14805011451244354,0.3395746052265167,0.030031219124794006,0.021799996495246887,0.09179835766553879,0.026276709511876106,0.024849530309438705,0.03530808165669441,0.02535138837993145,0.22651544213294983,0.023780489340424538,0.05085989460349083,0.2730293273925781,0.07077276706695557,0.4507373571395874,0.042641427367925644,0.11884661018848419,0.14578907191753387,0.024079937487840652
0,8,3.0372626136988403,0.9568215012550354,1.0154790878295898,1.1449109315872192,0.03153862804174423,0.036186035722494125,0.024545280262827873,0.1634160280227661,0.02977520413696766,0.0765780359506607,0.11826472729444504,0.3357800841331482,0.03462879732251167,0.022982731461524963,0.07442481815814972,0.0237899050116539,0.021853595972061157,0.03317144885659218,0.028503691777586937,0.2727300822734833,0.02363721653819084,0.0407860092818737,0.16196094453334808,0.07733718305826187,0.43216603994369507,0.048067063093185425,0.12951931357383728,0.12988325953483582,0.04229418560862541
0,9,2.7197287026792765,0.9574938416481018,1.0163428783416748,1.1450964212417603,0.03454635292291641,0.044544998556375504,0.02309940755367279,0.16907918453216553,0.029058711603283882,0.040278106927871704,0.10455925762653351,0.21538284420967102,0.03483100235462189,0.02399327978491783,0.08395527303218842,0.02224096842110157,0.023373140022158623,0.03236105293035507,0.031081335619091988,0.3483768403530121,0.0257504191249609,0.039427030831575394,0.13526156544685364,0.12215154618024826,0.10981947183609009,0.052252404391765594,0.17529605329036713,0.11582362651824951,0.05939820036292076
