episode,step,total_loss,loss_n_035c,loss_n_3db3,loss_n_950e,loss_n_dc66,loss_n_f46a,loss_n_0301,loss_n_0695,loss_n_0981,loss_n_14bf,loss_n_1879,loss_n_2c14,loss_n_3e97,loss_n_41d2,loss_n_55ca,loss_n_914a,loss_n_93bb,loss_n_a082,loss_n_ac63,loss_n_aebc,loss_n_b857,loss_n_d447,loss_n_d666,loss_n_db25,loss_n_e957,loss_n_eb67,loss_n_ed74,loss_n_f4d6,loss_n_f5eb,loss_n_fd34,loss_n_fd9d
0,0,56.75600070357323,1.1102687120437622,0.936153769493103,0.9841923713684082,0.9314996600151062,0.9871573448181152,2.2151973247528076,2.082258939743042,1.0205044746398926,0.4366801083087921,3.758162498474121,1.8924129009246826,1.2850128412246704,1.454501748085022,2.0497148036956787,3.0745606422424316,2.2198243141174316,1.8792710304260254,0.8427883386611938,4.15751314163208,1.7013188600540161,1.6282225847244263,1.5248396396636963,2.685616970062256,3.686556339263916,2.280454158782959,1.1261091232299805,2.775195837020874,3.713883399963379,4.301109790802002,1.9744365215301514
0,1,13.239941871538758,1.1268703937530518,0.9385573267936707,1.0015015602111816,0.9281958937644958,0.9868346452713013,0.5135447978973389,0.21614550054073334,0.2626403272151947,0.990071713924408,0.0393979474902153,0.02039298228919506,0.04176695644855499,0.18856370449066162,0.1501074880361557,3.066413640975952,0.8147156834602356,0.024355413392186165,0.097974993288517,0.028195610269904137,0.2368844747543335,0.031286828219890594,0.0452633835375309,0.037456899881362915,1.1475507020950317,0.07446236908435822,0.040709398686885834,0.07128484547138214,1.619350552558899,2.4551570415496826,0.02985665202140808
0,2,6.537464954704046,1.1222611665725708,0.9450832009315491,0.9906397461891174,0.927449107170105,0.9877444505691528,0.19028879702091217,0.36211976408958435,0.06193976476788521,0.04847562313079834,0.03898253291845322,0.022112758830189705,0.028314581140875816,0.24672986567020416,0.12612523138523102,2.2116684913635254,0.03833211585879326,0.03218461573123932,0.16089192032814026,0.02969258837401867,0.052824072539806366,0.026773197576403618,0.04050784185528755,0.027765493839979172,0.3854285180568695,0.1857357621192932,0.034726522862911224,0.17042160034179688,0.6942195892333984,0.18387703597545624,0.14269113540649414
0,3,5.230431579425931,1.1138312816619873,0.9362783432006836,0.9863320589065552,0.92466139793396,0.9865952134132385,0.3238365352153778,0.608918309211731,0.0627780482172966,0.04263683408498764,0.04677067697048187,0.026903705671429634,0.06556697189807892,0.16124656796455383,0.14582058787345886,0.5185863971710205,0.023231908679008484,0.032961320132017136,0.09556891769170761,0.044041115790605545,0.04677993804216385,0.02538817748427391,0.030593371018767357,0.022474495694041252,0.6967949271202087,0.28469139337539673,0.03352073207497597,0.19963417947292328,0.40765246748924255,0.23886635899543762,0.055627983063459396
0,4,3.762540853768587,1.1103750467300415,0.9364249110221863,0.9922148585319519,0.925504744052887,0.987900972366333,0.19242335855960846,0.26635247468948364,0.02326864004135132,0.03676009550690651,0.04580747336149216,0.027186991646885872,0.07261922210454941,0.041847679764032364,0.0846942886710167,0.022859442979097366,0.025127090513706207,0.20536716282367706,0.21452626585960388,0.03638104349374771,0.08281868696212769,0.027852457016706467,0.030423754826188087,0.02097148634493351,0.35713571310043335,0.5791124701499939,0.027676746249198914,0.07033714652061462,0.1265951246023178,0.12758231163024902,0.02632961980998516
0,5,3.4113661658018826,1.1097551584243774,0.9359925389289856,0.9903453588485718,0.9270633459091187,0.9881078004837036,0.22645321488380432,0.2712801694869995,0.024120884016156197,0.03908221796154976,0.03740552067756653,0.023767657577991486,0.07095669209957123,0.06660237908363342,0.04961923509836197,0.023775100708007812,0.025289280340075493,0.17273971438407898,0.24754969775676727,0.028788018971681595,0.06425616145133972,0.02503710798919201,0.030198784545063972,0.022479958832263947,0.40009811520576477,0.14637517929077148,0.02512306161224842,0.10246114432811737,0.1322043538093567,0.13823409378528595,0.027215581387281418
0,6,3.289858513325453,1.1101635694503784,0.9358860850334167,0.9882848262786865,0.9274634122848511,0.9897581934928894,0.12394256144762039,0.2399507611989975,0.023037191480398178,0.0415746234357357,0.03088841214776039,0.024464482441544533,0.07666783034801483,0.03910724073648453,0.049310099333524704,0.022901754826307297,0.02169220708310604,0.3741413652896881,0.39338141679763794,0.03285350650548935,0.04404741898179054,0.025454943999648094,0.03208316117525101,0.022146204486489296,0.08865116536617279,0.06722386926412582,0.024501247331500053,0.2520456910133362,0.1245042011141777,0.09781117737293243,0.02716476283967495
0,7,3.237853187695146,1.11446213722229,0.9359110593795776,0.9895262122154236,0.9292624592781067,0.9880194664001465,0.1146269366145134,0.3312945067882538,0.02461872436106205,0.03692980855703354,0.040965255349874496,0.025564175099134445,0.08602498471736908,0.03976038843393326,0.029518669471144676,0.023203803226351738,0.02351437695324421,0.15756167471408844,0.39716842770576477,0.030666790902614594,0.030038557946681976,0.02576826885342598,0.028575817123055458,0.028449775651097298,0.2453927844762802,0.06612883508205414,0.022550072520971298,0.09522975981235504,0.14410817623138428,0.17065972089767456,0.028096629306674004
0,8,2.384491927921772,1.1161088943481445,0.9359066486358643,0.9888366460800171,0.9317284226417542,0.988652229309082,0.17226266860961914,0.2648968994617462,0.02362578921020031,0.023054972290992737,0.04477837681770325,0.021836664527654648,0.08949699252843857,0.03392529860138893,0.024642866104841232,0.022973913699388504,0.026659224182367325,0.04552662745118141,0.03318149596452713,0.02724451757967472,0.03487683832645416,0.026321304962038994,0.03499062359333038,0.026806889101862907,0.08970502763986588,0.06575030088424683,0.02154391258955002,0.05653407424688339,0.08284831792116165,0.07585418969392776,0.022907573729753494
0,9,2.4041294779628517,1.1123749017715454,0.9362081289291382,0.9882431626319885,0.9325027465820312,0.9881086349487305,0.20623096823692322,0.24659587442874908,0.02183566242456436,0.02289929986000061,0.030363064259290695,0.023252926766872406,0.09272276610136032,0.0375567227602005,0.024338291957974434,0.022746652364730835,0.020239461213350296,0.04153905808925629,0.03163593262434006,0.03021869622170925,0.03141982853412628,0.029708748683333397,0.030052194371819496,0.024387098848819733,0.09758301079273224,0.06866085529327393,0.024443183094263077,0.049232449382543564,0.11263691633939743,0.06826478242874146,0.0240775179117918
