episode,step,target,value,total_loss,loss_X1,loss_X2,loss_X3,loss_X4,loss_X5,env_queries_executed,env_queries_candidate_probe,env_queries_observational,env_queries_total
0,0,X1,-5.0,16.17791159451008,1.1252973079681396,7.545618057250977,2.816054344177246,4.59763240814209,0.09330947697162628,1406250,0,1800000,3206250
0,1,X1,-1.1173079471770708,16.600640431046486,1.1252973079681396,9.078008651733398,2.109229803085327,4.241703033447266,0.04640163481235504,1406250,0,1800000,3206250
0,2,X5,-4.080630520992133,8.936181478202343,1.1206755638122559,3.1314918994903564,0.7371608018875122,3.908374786376953,0.03847842663526535,1406250,0,1800000,3206250
0,3,X3,-4.014468797671439,5.012258855625987,1.133385419845581,0.05563212186098099,0.4990532100200653,3.307237386703491,0.016950717195868492,1406250,0,1800000,3206250
0,4,X4,0.5709667330280495,4.610955682583153,1.1341537237167358,0.03492705523967743,0.37616363167762756,3.0522549152374268,0.013456356711685658,1406250,0,1800000,3206250
0,5,X5,-4.514331504792495,4.283749029040337,1.1330262422561646,0.03075127862393856,0.28862670063972473,2.819277763366699,0.012067044153809547,1406250,0,1800000,3206250
0,6,X1,-3.9986713076792464,3.7831286704167724,1.1300898790359497,0.035632044076919556,0.1891532987356186,2.4173872470855713,0.010866201482713223,1406250,0,1800000,3206250
0,7,X3,2.9196024557924294,3.583484448492527,1.1266248226165771,0.03596252575516701,0.1639130711555481,2.246324300765991,0.010659728199243546,1406250,0,1800000,3206250
0,8,X5,-2.0086791055946494,3.415482573211193,1.1261816024780273,0.03577915579080582,0.1517559438943863,2.091360569000244,0.010405302047729492,1406250,0,1800000,3206250
0,9,X5,2.449152646245514,3.1483374228700995,1.130863904953003,0.03272044658660889,0.1429901421070099,1.8316080570220947,0.010154872201383114,1406250,0,1800000,3206250
0,10,X4,-2.4259562404005,3.0395399229601026,1.1317973136901855,0.03007916919887066,0.14073556661605835,1.7234729528427124,0.0134549206122756,1406250,0,1800000,3206250
0,11,X5,3.4699642824395687,2.9389730049297214,1.130568027496338,0.027353670448064804,0.13900171220302582,1.627891182899475,0.014158411882817745,1406250,0,1800000,3206250
0,12,X2,-2.9706311170077173,2.760625652037561,1.1298584938049316,0.022884689271450043,0.12756426632404327,1.4673893451690674,0.0129288574680686,1406250,0,1800000,3206250
0,13,X5,-5.0,2.686356835067272,1.1285483837127686,0.02112131379544735,0.12238617986440659,1.4018030166625977,0.01249794103205204,1406250,0,1800000,3206250
0,14,X3,1.9279821199939273,2.625117109157145,1.1294928789138794,0.01971431076526642,0.1192086711525917,1.3446946144104004,0.012006633915007114,1406250,0,1800000,3206250
0,15,X3,3.9825177245257386,2.52416124753654,1.12748122215271,0.017807913944125175,0.11255034059286118,1.255108118057251,0.011213652789592743,1406250,0,1800000,3206250
0,16,X5,-3.4827266198582767,2.485048587433994,1.1271612644195557,0.017183220013976097,0.10918252915143967,1.2205092906951904,0.011012283153831959,1406250,0,1800000,3206250
0,17,X2,-3.5056274403045227,2.4510610019788146,1.1271201372146606,0.01669296994805336,0.10523949563503265,1.19110906124115,0.010899337939918041,1406250,0,1800000,3206250
0,18,X3,4.879865144335611,2.3971455162391067,1.126829981803894,0.016006018966436386,0.09814413636922836,1.1454559564590454,0.010709422640502453,1406250,0,1800000,3206250
0,19,X1,-4.9151920772286335,2.376791203394532,1.1267648935317993,0.01581975631415844,0.0955747663974762,1.128024697303772,0.010607089847326279,1406250,0,1800000,3206250
0,20,X3,5.0,2.358289868570864,1.1271666288375854,0.015577469952404499,0.09164930880069733,1.1133666038513184,0.010529857128858566,1406250,0,1800000,3206250
0,21,X1,-4.991182487446037,2.326699356548488,1.1264612674713135,0.0150115005671978,0.08392974734306335,1.0909311771392822,0.010365664027631283,1406250,0,1800000,3206250
0,22,X5,-1.4540304182705104,2.3143844716250896,1.1261647939682007,0.01460088137537241,0.0805799588561058,1.08272385597229,0.010314981453120708,1406250,0,1800000,3206250
0,23,X2,0.5075403592358708,2.302471245639026,1.1253894567489624,0.014089309610426426,0.07666844129562378,1.0760555267333984,0.01026851125061512,1406250,0,1800000,3206250
0,24,X3,-3.083657244358694,2.285330575890839,1.1259864568710327,0.012934469617903233,0.06972882896661758,1.0664823055267334,0.01019851490855217,1406250,0,1800000,3206250
1,0,X1,2.0541400420257703,13.555460721254349,1.1252973079681396,6.1181769371032715,1.4550963640213013,4.597502708435059,0.25938740372657776,1406250,0,1800000,3206250
1,1,X5,-2.100871171311826,10.904196843504906,1.1387451887130737,4.5690598487854,0.7860771417617798,4.2433247566223145,0.16698990762233734,1406250,0,1800000,3206250
1,2,X5,-3.8912721267981425,8.861592881381512,1.136415958404541,3.0294995307922363,0.6822671294212341,3.91141676902771,0.10199349373579025,1406250,0,1800000,3206250
