episode,step,total_loss,loss_X1,loss_X4,loss_X2,loss_X3,loss_X5
0,0,33.09664900302887,1.005940318107605,4.928296089172363,23.604896545410156,5.867109775543213,2.437795400619507
0,1,24.857387310266496,1.005940318107605,4.053614139556885,19.384811401367188,3.9866509437561035,0.4740140736103058
0,2,18.387007933855056,1.005940318107605,3.3395771980285645,15.518277168273926,1.5842605829238892,0.41536667943000793
0,3,2.9373245678842066,1.005940318107605,2.7640483379364014,0.034992512315511703,1.7405610084533691,0.40777331590652466
0,4,2.369246197119355,1.0043028593063354,1.9431548118591309,0.017896274104714394,1.5304096937179565,0.231448695063591
0,5,1.9256232906132937,1.0030608177185059,1.657090187072754,0.015005962923169136,1.2372286319732666,0.14135849475860596
0,6,1.1256010074168445,1.0029360055923462,1.4463878870010376,0.014916056767106056,0.5444563031196594,0.07636386901140213
0,7,0.9843851454555989,1.0032838582992554,1.187256097793579,0.011348877102136612,0.472657710313797,0.06227056682109833
0,8,0.9552702920511364,1.0035407543182373,1.113447904586792,0.011279073543846607,0.45585277676582336,0.06474070996046066
0,9,0.8925542317330838,1.0041327476501465,1.0657026767730713,0.010477978736162186,0.40686896443367004,0.06124020367860794
0,10,0.8597571535035968,1.0031468868255615,1.0228331089019775,0.011669195257127285,0.3895833194255829,0.0533086396753788
0,11,0.8472743155434728,1.003054141998291,1.0143145322799683,0.011425846256315708,0.37388551235198975,0.05848922207951546
0,12,0.819483794271946,1.003056287765503,1.0101966857910156,0.012559637427330017,0.3549567461013794,0.04931681603193283
0,13,0.8220149045810103,1.0037569999694824,1.0080994367599487,0.011989223770797253,0.35565632581710815,0.051998067647218704
0,14,0.7955180138349534,1.0040537118911743,1.0079078674316406,0.011041510850191116,0.3294026851654053,0.05268150195479393
0,15,0.813244190812111,1.0040500164031982,1.0079110860824585,0.012149248272180557,0.3562430739402771,0.042459648102521896
0,16,0.7435454145073891,1.0044180154800415,1.0081263780593872,0.011851513758301735,0.30528905987739563,0.02389596216380596
0,17,0.7812712911516428,1.0048526525497437,1.0086324214935303,0.011646870523691177,0.33822619915008545,0.028701206669211388
0,18,0.7532239899039268,1.0048238039016724,1.0087454319000244,0.010309049859642982,0.31805112957954407,0.022149963304400444
0,19,0.7670272063463927,1.0049878358840942,1.0084267854690552,0.011838370934128761,0.3286045789718628,0.023901332169771194
0,20,0.7070927757769823,1.0051594972610474,1.0088263750076294,0.011288346722722054,0.2637917697429657,0.029215484857559204
0,21,0.741885573975742,1.0046299695968628,1.0085197687149048,0.010854738764464855,0.2996159791946411,0.02878490835428238
0,22,0.6895325209945441,1.005424976348877,1.0087021589279175,0.009367207065224648,0.2498677670955658,0.0274721197783947
0,23,0.6970430569723249,1.0053625106811523,1.0085537433624268,0.01190053392201662,0.2461639642715454,0.036195307970047
0,24,0.6907988609746099,1.0054645538330078,1.0094752311706543,0.01077818963676691,0.24134784936904907,0.03568486496806145
1,0,32.09442300796509,1.005940318107605,4.928296089172363,22.996337890625,6.273380756378174,1.6378570795059204
1,1,28.440211033821107,1.005940318107605,4.0529680252075195,21.875194549560547,4.976946830749512,0.5762879848480225
1,2,20.325527358055115,1.005940318107605,3.340766191482544,14.537576675415039,3.7338531017303467,1.1847562789916992
1,3,17.933954381942748,1.0045325756072998,2.7674574851989746,14.143789291381836,2.070319175720215,0.9654479026794434
1,4,1.9732046108692884,1.0116499662399292,1.9426757097244263,0.025934753939509392,0.5588756799697876,0.7975290417671204
1,5,1.8839914418756962,1.0079225301742554,1.7032736539840698,0.016615066677331924,0.6871025562286377,0.6380345821380615
1,6,1.8452277634292842,1.0082460641860962,1.4796290397644043,0.016990194097161293,0.6403846144676208,0.6902779340744019
1,7,1.8520260330289604,1.0070891380310059,1.206273078918457,0.014888918027281761,0.6042148470878601,0.7902498245239258
1,8,1.4498475253582002,1.0081911087036133,1.1296271085739136,0.015279531478881836,0.5268023610115051,0.48020198941230774
1,9,1.6030064599588514,1.0076254606246948,1.0794826745986938,0.014084924943745136,0.6177620887756348,0.5537378191947937
1,10,1.3236179489642381,1.0058420896530151,1.0252479314804077,0.013303341343998909,0.534795880317688,0.3693007230758667
1,11,1.3033063853159548,1.0052273273468018,1.0149527788162231,0.014350601471960545,0.6468637585639954,0.2380560040473938
1,12,1.254911825992167,1.0044127702713013,1.010252833366394,0.013584272004663944,0.5925866365432739,0.24580779671669006
1,13,1.1448699161410332,1.0057646036148071,1.0079073905944824,0.013777561485767365,0.504182755947113,0.22417519986629486
1,14,1.2048607533797622,1.0059778690338135,1.008128046989441,0.01200649794191122,0.5612298846244812,0.22880318760871887
1,15,1.2201411904767157,1.0056129693984985,1.0087682008743286,0.013295886106789112,0.5813297629356384,0.2226393073797226
1,16,1.080756481923163,1.0066115856170654,1.0095819234848022,0.0116268927231431,0.48336416482925415,0.18252672255039215
1,17,1.1630390007048845,1.00657057762146,1.0094671249389648,0.011890025809407234,0.5558673739433289,0.19207406044006348
1,18,1.1822359947487713,1.0069254636764526,1.0101706981658936,0.009960341267287731,0.6305429339408875,0.13831348717212677
1,19,1.1614320972934364,1.0059093236923218,1.010270357131958,0.011472598649561405,0.5908665657043457,0.15585699677467346
1,20,1.125960447266698,1.005967617034912,1.0115344524383545,0.010520951822400093,0.56668621301651,0.14525286853313446
1,21,1.1191871706396341,1.0056641101837158,1.0109213590621948,0.009571442380547523,0.569379985332489,0.13691864907741547
