seed,changed,change_type,method,target_budget,source_samples,mse,changed_mse,unchanged_mse,old_selection_mass
3014,1,family,scratch,120,2560,0.5220989783853249,0.04244239915923875,0.5386388604276037,
3014,1,family,warm,120,2560,0.03466836864673855,0.09664522473188375,0.032531235678285274,
3014,1,family,source_retrieval,120,2560,0.03322381945789948,0.00568695472211553,0.0341733665177541,0.8
3014,1,family,source_mixture,120,2560,0.031787922082643014,0.00568695472211553,0.032687955439902584,0.8648874670338274
3014,1,family,scratch,200,2560,0.27745097840339494,0.44987269109472755,0.27150540210369384,
3014,1,family,warm,200,2560,0.025931205714004295,0.06616887770145596,0.02454369978340251,
3014,1,family,source_retrieval,200,2560,0.028661501209326763,0.11781817457469948,0.025587133162244948,0.8
3014,1,family,source_mixture,200,2560,0.02769234127336038,0.11781817457469948,0.02458455391814179,0.8648874670338274
3014,1,family,scratch,400,2560,0.03555782676639963,0.0065635471299782455,0.03655762951248313,
3014,1,family,warm,400,2560,0.011973667467158233,0.02632616173471672,0.011478753871725183,
3014,1,family,source_retrieval,400,2560,0.011204678923167453,0.005062910494481349,0.01141646404139801,0.8
3014,1,family,source_mixture,400,2560,0.011210836866950494,0.005062910494481349,0.011422834328070123,0.8648874670338274
