step,target,value,query_samples,observed_total_loss,broad_total_loss
0,X6,4.675974369049072,50,9.85734810680151,33.595224025845525
1,X4,-5.0,100,6.873195260763168,15.855058563500643
2,X8,-5.0,150,6.548041712492704,13.27106640934944
3,X6,-5.0,240,5.890111114829779,11.998137479647994
4,X20,-5.0,290,5.782182807102799,10.72909585647285
5,X17,3.0212302207946777,340,5.745148742571473,9.482781148701907
6,X10,-4.322993278503418,430,5.701237617060542,7.886313820257783
7,X7,-5.0,480,5.687895739451051,7.18458776846528
8,X7,4.589087009429932,530,5.676788214594126,6.741566755250096
9,X25,5.0,620,5.859223958104849,5.259095734730363
10,X10,3.9381604194641113,670,5.6776379104703665,4.9155057083815334
11,X11,4.833682060241699,720,5.653774466365576,4.758385958150029
12,X11,-4.673563480377197,810,5.642012257128954,4.404219060763717
13,X16,-4.461803436279297,860,5.639696944504976,4.350792340189218
14,X9,-5.0,910,5.635767757892609,4.338014194741845
15,X9,3.8187036514282227,1000,5.637906603515148,4.267553302645683
16,X8,5.0,1050,5.636294750496745,4.24908565543592
17,X23,2.153599500656128,1100,5.633430091664195,4.222406021878124
18,X5,4.9704108238220215,1190,5.628359718248248,4.131545557454229
19,X16,5.0,1240,5.626122340559959,4.1085222091525795
20,X17,5.0,1290,5.624269008636475,4.058478802815079
21,X18,-5.0,1380,5.623773910105228,3.588050349056721
22,X18,4.950953006744385,1430,5.625951398164034,3.5297227539122105
23,X15,-4.855639934539795,1480,5.626089194789529,3.499593514204025
24,X17,-5.0,1570,5.625253025442362,3.440683987364173
25,X25,-3.9043807983398438,1620,5.644067211076617,2.6887891203165055
26,X5,-5.0,1670,5.629487996920943,2.5403087191283706
27,X25,-5.0,1760,5.625358747318387,2.4809676300734282
28,X19,5.0,1810,5.626178620383143,2.4569361925125124
29,X4,5.0,1860,5.6249272916466,2.430580919981003
30,X2,4.634805679321289,1950,5.625068260356784,2.3336942426860334
31,X2,-5.0,2000,5.625113718211651,2.310349355638027
