seed,changed,change_type,method,target_budget,source_samples,mse,changed_mse,unchanged_mse,old_selection_mass
3013,3,coefficient,scratch,120,2560,0.7484053202869371,0.6495604130037828,0.7593880877628431,
3013,3,coefficient,warm,120,2560,0.03482542025763612,0.16581706741413413,0.02027079279580301,
3013,3,coefficient,source_retrieval,120,2560,0.044822658808647255,0.2453447089732175,0.0225424310125839,0.7333333333333333
3013,3,coefficient,source_mixture,120,2560,0.03159736364266978,0.1306440384373,0.020592177554377537,0.8474478272940197
3013,3,coefficient,scratch,200,2560,0.18509310258449113,0.1211784869284117,0.1921947265462777,
3013,3,coefficient,warm,200,2560,0.028203650571989924,0.06881702656417164,0.023691053239525292,
3013,3,coefficient,source_retrieval,200,2560,0.027911743815068963,0.06488521781786648,0.023803580036980354,0.7333333333333333
3013,3,coefficient,source_mixture,200,2560,0.02676949376001306,0.05694137451527215,0.023417062564984277,0.8474478272940197
3013,3,coefficient,scratch,400,2560,0.029257665872937835,0.01631457059403976,0.030695787570593182,
3013,3,coefficient,warm,400,2560,0.012990319585581785,0.011394420260614045,0.013167641732800425,
3013,3,coefficient,source_retrieval,400,2560,0.013804825036113844,0.018856188228854136,0.013243562459142695,0.7333333333333333
3013,3,coefficient,source_mixture,400,2560,0.013242006668307828,0.012918053969368133,0.013278001412634459,0.8474478272940197
