track,seed,method,budget,nodes,changed,rounds,mse,changed_mse,unchanged_mse
transfer,456,scratch_uniform,128,30,10,1,0.644267802221274,0.5300022922368453,0.7014005572134885
transfer,456,scratch_uniform,160,30,10,5,0.6061558744096782,0.5105013081135372,0.6539831575577488
transfer,456,scratch_uniform,200,30,10,10,0.5428632963309092,0.42091135376186806,0.6038392676154298
transfer,456,scratch_uniform,280,30,10,20,0.35427658988746835,0.33509008005190877,0.3638698448052482
transfer,456,scratch_uniform,400,30,10,35,0.030810890729165468,0.027126923209882813,0.03265287448880679
transfer,456,warm_uniform,128,30,10,1,0.1619194753617734,0.4404072765964696,0.02267557474442527
transfer,456,warm_uniform,160,30,10,5,0.1404564009477872,0.37571230326429217,0.022828449789534713
transfer,456,warm_uniform,200,30,10,10,0.12918127117067849,0.3391114552087355,0.02421617915164998
transfer,456,warm_uniform,280,30,10,20,0.09507582952303172,0.24790169008768775,0.018662899240703724
transfer,456,warm_uniform,400,30,10,35,0.019282723098578005,0.032810050427133156,0.012519059434300433
transfer,456,warm_residual,128,30,10,1,0.15775712479294796,0.4291569925523042,0.022057190913269794
transfer,456,warm_residual,160,30,10,5,0.12959632076190875,0.3446745804591867,0.022057190913269794
transfer,456,warm_residual,200,30,10,10,0.02178341298678787,0.021235857133824018,0.022057190913269794
transfer,456,warm_residual,280,30,10,20,0.015168285188723452,0.01978298509253939,0.012860935236815477
transfer,456,warm_residual,400,30,10,35,0.011792673395659313,0.015987561431363914,0.009695229377807008
transfer,456,module_residual,128,30,10,1,0.2282068103289519,0.6405060491603161,0.022057190913269794
transfer,456,module_residual,160,30,10,5,0.17234960968879115,0.47293444723983386,0.022057190913269794
transfer,456,module_residual,200,30,10,10,0.023831818403840414,0.027381073384981643,0.022057190913269794
transfer,456,module_residual,280,30,10,20,0.018403205870256692,0.027381073384981643,0.013914272112894217
transfer,456,module_residual,400,30,10,35,0.013543587654914287,0.015247166989859243,0.01269179798744181
