track,seed,method,budget,nodes,changed,rounds,mse,changed_mse,unchanged_mse
transfer,123,scratch_uniform,128,30,10,1,0.8845371513432861,0.8900593307493156,0.8817760616402713
transfer,123,scratch_uniform,160,30,10,5,0.6790891905652122,0.8900593307493156,0.5736041204731605
transfer,123,scratch_uniform,200,30,10,10,0.5801759955745628,0.6713212480732251,0.5346033693252318
transfer,123,scratch_uniform,280,30,10,20,0.23253250988729288,0.24556078895103234,0.22601837035542313
transfer,123,scratch_uniform,400,30,10,35,0.030916809216864297,0.03990385937915418,0.026423284135719354
transfer,123,warm_uniform,128,30,10,1,0.24519871693582554,0.6738442032863967,0.030875973760539965
transfer,123,warm_uniform,160,30,10,5,0.24403261111863186,0.6738442032863967,0.029126815034749436
transfer,123,warm_uniform,200,30,10,10,0.23000067970477492,0.6345839527974652,0.027709043158429786
transfer,123,warm_uniform,280,30,10,20,0.16381785687361863,0.44962677453437294,0.02091339804324143
transfer,123,warm_uniform,400,30,10,35,0.025955855444161305,0.05634561062774931,0.010760977852367303
transfer,123,warm_residual,128,30,10,1,0.24318918440861084,0.6677378996693463,0.030914826778243108
transfer,123,warm_residual,160,30,10,5,0.21574737095067098,0.5854124592955267,0.030914826778243108
transfer,123,warm_residual,200,30,10,10,0.031133877930417123,0.031571980234765165,0.030914826778243108
transfer,123,warm_residual,280,30,10,20,0.020606579660880572,0.031571980234765165,0.015123879373938276
transfer,123,warm_residual,400,30,10,35,0.016905861662612962,0.02770103512417673,0.011508274931831076
transfer,123,module_residual,128,30,10,1,0.39268945295129076,1.116238705297386,0.030914826778243108
transfer,123,module_residual,160,30,10,5,0.3172046187127193,0.8897842025816717,0.030914826778243108
transfer,123,module_residual,200,30,10,10,0.04592872730609853,0.0759565283618094,0.030914826778243108
transfer,123,module_residual,280,30,10,20,0.03527145778300489,0.0759565283618094,0.014928922493602646
transfer,123,module_residual,400,30,10,35,0.022579008789018074,0.03729329884740956,0.015221863759822336
