seed,method,episodes,total_loss,loss_X1,loss_X2,loss_X3,loss_X4,loss_X5
42,bayesian_oed,171,2.032308802008629,0.9056440591812134,0.009859618730843067,0.012269611470401287,1.0231671333312988,0.08136837929487228
123,bayesian_oed,171,2.210263080894947,1.0709052085876465,0.02599361352622509,0.09375982731580734,1.0088739395141602,0.010730491951107979
456,bayesian_oed,171,1.9579770024865866,0.9205705523490906,0.021490363404154778,0.08568231016397476,0.9201434254646301,0.010090351104736328
789,bayesian_oed,171,2.0951428711414337,0.9393839836120605,0.009510478936135769,0.012692448683083057,1.0734944343566895,0.06006152555346489
1011,bayesian_oed,171,2.0438076173886657,1.0200458765029907,0.011478855274617672,0.02366490289568901,0.9790716767311096,0.009546305984258652
314,bayesian_oed,171,2.0394328478723764,0.9425227046012878,0.03682711720466614,0.11284122616052628,0.9383243322372437,0.008917467668652534
271,bayesian_oed,171,2.0357682332396507,0.9253700375556946,0.009826390072703362,0.01421389915049076,1.0085804462432861,0.07777746021747589
577,bayesian_oed,171,1.9798778658732772,0.9781106114387512,0.010747942142188549,0.022789716720581055,0.9576476216316223,0.010581973940134048
618,bayesian_oed,171,1.9853571495041251,0.9901975393295288,0.011517006903886795,0.016589222475886345,0.9558543562889099,0.011199024505913258
141,bayesian_oed,171,2.098074859008193,0.9484537243843079,0.009472873993217945,0.015993518754839897,1.1144295930862427,0.009725148789584637
